Metalines: 11
Project Name: SW110321-04B
Case Name: SW110321-04B
Slide Number: 1_03
Channel Number: 2
ARA Level: 030
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:31:156:86), 164672, 1, MOs_6a
(l:31:156:88), 810526, 9, MOs_5
(l:31:156:89), 741194, 0, MOs_2/3
(l:31:156:90), 435517, 0, MOs_1
(l:31:157:86), 412699, 2, MOp_6a
(l:31:157:88), 1023384, 0, MOp_5
(l:31:157:89), 1588226, 0, MOp_2/3
(l:31:157:90), 741631, 0, MOp_1
(l:33:152:98), 57397, 0, AId_6a
(l:33:152:100), 265419, 0, AId_5
(l:33:152:101), 485662, 0, AId_2/3
(l:33:152:102), 251755, 0, AId_1
(l:36:136:91), 186897, 109, ORBm_6a
(l:36:136:92), 362096, 1738, ORBm_5
(l:36:136:93), 400824, 1755, ORBm_2/3
(l:36:136:95), 172707, 311, ORBm_2
(l:36:136:96), 190287, 41, ORBm_1
(l:36:137:91), 37133, 12, ORBvl_6a
(l:36:137:92), 140475, 0, ORBvl_5
(l:36:137:93), 477071, 805, ORBvl_2/3
(l:36:137:94), 174608, 352, ORBvl_1
(l:36:138:91), 137961, 0, ORBl_6a
(l:36:138:92), 310333, 0, ORBl_5
(l:36:138:93), 435111, 21, ORBl_2/3
(l:36:138:94), 209648, 149, ORBl_1
(l:47:168:76), 153952, 0, PL_6a
(l:47:168:77), 262981, 366, PL_5
(l:47:168:79), 236872, 10, PL_2/3
(l:47:168:80), 111019, 0, PL_2
(l:47:168:81), 145494, 180, PL_1
(l:64:166:98), 63985, 0, ACAd_6a
(l:64:166:100), 181603, 0, ACAd_5
(l:64:166:101), 177479, 0, ACAd_2/3
(l:64:166:102), 127872, 0, ACAd_1
(l:84:191:143), 92801, 0, AON
(l:84:191:145), 708279, 0, AON_l
(l:84:191:146), 531417, 0, AON_d
(l:84:191:147), 247006, 0, AON_pv
(l:84:191:148), 549170, 0, AON_m
(l:84:191:149), 1959872, 0, AON_1
(l:98:207:158), 276722, 0, TTv_2
(l:98:207:159), 189649, 0, TTv_1
(l:98:208:158), 310737, 0, TTd_2
(l:98:208:159), 205395, 39, TTd_1
(l:106:203:184), 82313, 0, PIR_3
(l:106:203:185), 70148, 0, PIR_2
(l:106:203:186), 45738, 0, PIR_1
(l:170:170:170), 30302, 0, rc/sez
(l:176:255:184), 2622, 0, BORDER1
(l:191:218:227), 374, 0, BORDER0
(l:204:204:206), 303355, 0, lot
(l:204:204:207), 270781, 1, aco
(l:255:255:255), 63447200, 0, BORDER6
(r:31:156:86), 164639, 34, MOs_6a
(r:31:156:88), 810534, 1, MOs_5
(r:31:156:89), 740950, 244, MOs_2/3
(r:31:156:90), 435517, 0, MOs_1
(r:31:157:86), 412701, 0, MOp_6a
(r:31:157:88), 1023365, 19, MOp_5
(r:31:157:89), 1588210, 16, MOp_2/3
(r:31:157:90), 741577, 54, MOp_1
(r:33:152:98), 57397, 0, AId_6a
(r:33:152:100), 265419, 0, AId_5
(r:33:152:101), 485662, 0, AId_2/3
(r:33:152:102), 251755, 0, AId_1
(r:36:136:91), 186826, 180, ORBm_6a
(r:36:136:92), 357335, 6499, ORBm_5
(r:36:136:93), 388625, 13954, ORBm_2/3
(r:36:136:95), 163250, 9768, ORBm_2
(r:36:136:96), 186446, 3882, ORBm_1
(r:36:137:91), 37145, 0, ORBvl_6a
(r:36:137:92), 139529, 946, ORBvl_5
(r:36:137:93), 473153, 4723, ORBvl_2/3
(r:36:137:94), 174618, 342, ORBvl_1
(r:36:138:91), 137908, 53, ORBl_6a
(r:36:138:92), 310332, 1, ORBl_5
(r:36:138:93), 435131, 1, ORBl_2/3
(r:36:138:94), 209595, 202, ORBl_1
(r:47:168:76), 153625, 327, PL_6a
(r:47:168:77), 263207, 140, PL_5
(r:47:168:79), 236875, 7, PL_2/3
(r:47:168:80), 111019, 0, PL_2
(r:47:168:81), 144728, 946, PL_1
(r:64:166:98), 63936, 49, ACAd_6a
(r:64:166:100), 181603, 0, ACAd_5
(r:64:166:101), 177479, 0, ACAd_2/3
(r:64:166:102), 127834, 38, ACAd_1
(r:84:191:143), 92801, 0, AON
(r:84:191:145), 708279, 0, AON_l
(r:84:191:146), 531417, 0, AON_d
(r:84:191:147), 247006, 0, AON_pv
(r:84:191:148), 549170, 0, AON_m
(r:84:191:149), 1959872, 0, AON_1
(r:98:207:158), 276722, 0, TTv_2
(r:98:207:159), 189649, 0, TTv_1
(r:98:208:158), 309755, 982, TTd_2
(r:98:208:159), 205431, 3, TTd_1
(r:106:203:184), 82219, 94, PIR_3
(r:106:203:185), 70148, 0, PIR_2
(r:106:203:186), 45738, 0, PIR_1
(r:170:170:170), 30302, 0, rc/sez
(r:176:255:184), 2622, 0, BORDER1
(r:191:218:227), 374, 0, BORDER0
(r:204:204:206), 303355, 0, lot
(r:204:204:207), 270647, 135, aco
(r:255:255:255), 63447200, 0, BORDER6
