Metalines: 11
Project Name: SW110321-04B
Case Name: SW110321-04B
Slide Number: 3_04
Channel Number: 5
ARA Level: 091
Tracer: CTB-647 cell count
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 14481, 0, PTLp_6b
(l:0:159:168), 73590, 0, PTLp_6a
(l:0:159:169), 137807, 0, PTLp_5
(l:0:159:170), 38052, 0, PTLp_4
(l:0:159:171), 105744, 0, PTLp_2/3
(l:0:159:172), 67872, 0, PTLp_1
(l:1:145:148), 19234, 0, AUDd_6b
(l:1:145:149), 65264, 0, AUDd_6a
(l:1:145:150), 163763, 0, AUDd_5
(l:1:145:151), 42593, 0, AUDd_4
(l:1:145:152), 137238, 0, AUDd_2/3
(l:1:145:153), 71222, 0, AUDd_1
(l:1:148:148), 35002, 0, AUDpo_6b
(l:1:148:149), 92499, 0, AUDPo_6a
(l:1:148:150), 306614, 0, AUDPo_5
(l:1:148:151), 84256, 0, AUDPo_4
(l:1:148:152), 229047, 0, AUDPo_2/3
(l:1:148:153), 99431, 0, AUDPo_1
(l:8:131:135), 47331, 0, VISal_6b
(l:8:131:136), 239468, 0, VISal_6a
(l:8:131:137), 411083, 0, VISal_5
(l:8:131:138), 123057, 0, VISal_4
(l:8:131:139), 372197, 0, VISal_2/3
(l:8:131:140), 170571, 0, VISal_1
(l:8:132:135), 68580, 0, VISp_6b
(l:8:132:136), 341357, 0, VISp_6a
(l:8:132:137), 600671, 0, VISp_5
(l:8:132:138), 322989, 0, VISp_4
(l:8:132:139), 606412, 0, VISp_2/3
(l:8:132:140), 292540, 0, VISp_1
(l:8:133:135), 41761, 0, VISam_6b
(l:8:133:136), 168829, 0, VISam_6a
(l:8:133:137), 279656, 0, VISam_5
(l:8:133:138), 103658, 0, VISam_4
(l:8:133:139), 351762, 0, VISam_2/3
(l:8:133:140), 204217, 0, VISam_1
(l:13:159:141), 31421, 0, ECT_6b
(l:13:159:142), 48312, 0, ECT_6a
(l:13:159:143), 125651, 0, ECT_5
(l:13:159:144), 133709, 0, ECT_2/3
(l:13:159:145), 92657, 0, ECT_1
(l:14:150:128), 15694, 0, PERI_6b
(l:14:150:129), 22484, 0, PERI_6a
(l:14:150:130), 68901, 0, PERI_5
(l:14:150:131), 48988, 0, PERI_2/3
(l:14:150:132), 88725, 0, PERI_1
(l:21:176:174), 43712, 0, TEa_6b
(l:21:176:175), 95436, 0, TEa_6a
(l:21:176:176), 266934, 0, TEa_5
(l:21:176:177), 47823, 0, TEa_4
(l:21:176:178), 155383, 0, TEa_2/3
(l:21:176:179), 112784, 0, TEa_1
(l:26:165:147), 8059, 0, RSPv_6b
(l:26:165:148), 286420, 0, RSPv_6a
(l:26:165:149), 351296, 0, RSPv_5
(l:26:165:150), 219914, 0, RSPv_2/3
(l:26:165:151), 96761, 0, RSPv_2
(l:26:165:152), 307208, 0, RSPv_1
(l:26:166:148), 13305, 0, RSPd_6b
(l:26:166:149), 236643, 0, RSPd_6a
(l:26:166:150), 199436, 0, RSPd_5
(l:26:166:151), 128649, 0, RSPd_2/3
(l:26:166:152), 89365, 0, RSPd_1
(l:26:167:148), 25265, 0, RSPagl_6b
(l:26:167:149), 131463, 0, RSPagl_6a
(l:26:167:150), 122443, 0, RSPagl_5
(l:26:167:151), 116903, 0, RSPagl_2/3
(l:26:167:152), 72261, 0, RSPagl_1
(l:50:182:32), 51020, 0, ENTm_6
(l:50:182:33), 27821, 0, ENTm_5
(l:50:182:35), 150568, 0, ENTm_3
(l:50:182:38), 138508, 0, ENTm_2
(l:50:182:39), 263199, 0, ENTm_1
(l:50:184:27), 446265, 0, ENTl_6
(l:50:184:30), 232279, 0, ENTl_5
(l:50:184:32), 260334, 0, ENTl_4
(l:50:184:34), 387126, 0, ENTl_3
(l:50:184:35), 654924, 0, ENTl_2b
(l:50:184:36), 430735, 0, ENTl_2a
(l:50:184:38), 587852, 0, ENTl_1
(l:72:200:60), 201663, 0, POST_3
(l:72:200:61), 140722, 0, POST_2
(l:72:200:62), 90164, 0, POST_1
(l:75:181:71), 279096, 0, SUBd_m
(l:75:181:72), 169028, 0, SUBd_sr
(l:75:181:73), 912137, 0, SUBd_sp
(l:75:182:71), 826183, 0, SUBv_m
(l:75:182:72), 334817, 0, SUBv_sr
(l:75:182:73), 1374612, 0, SUBv_sp
(l:89:185:72), 36548, 0, PRE_2
(l:89:185:73), 50627, 0, PRE_1
(l:126:209:75), 2351869, 0, DG_mo
(l:126:209:76), 1155443, 0, DG_sg
(l:126:209:77), 78687, 0, DG_po
(l:126:212:75), 68783, 0, CA1_so
(l:126:212:76), 713771, 0, CA1_sp
(l:126:212:77), 277039, 0, CA1_sr
(l:126:212:78), 577146, 0, CA1_slm
(l:170:170:173), 8659, 0, AQ
(l:176:255:184), 1395, 0, BORDER1
(l:191:218:227), 15822, 0, BORDER0
(l:204:204:156), 438177, 0, scp/tsp/dtd
(l:204:204:157), 51394, 0, rust
(l:204:204:158), 2362317, 0, mcp/cst/ml/cpd
(l:204:204:160), 109109, 0, bic
(l:204:204:168), 55065, 0, mlf
(l:204:204:175), 1386380, 0, fp/dhc/alv/ec
(l:204:204:187), 95543, 0, bsc
(l:254:132:253), 295972, 0, SCs_zo
(l:254:132:254), 855911, 0, SCs_sg
(l:254:132:255), 237577, 0, SCs_op
(l:254:133:250), 1221667, 0, SCm_ig
(l:254:133:254), 553033, 0, SCm_iw
(l:254:133:255), 1390278, 0, SCm_dg
(l:254:137:255), 357646, 0, NB
(l:254:138:255), 217256, 0, CLI
(l:254:139:255), 76054, 0, III
(l:254:140:255), 46577, 0, EW
(l:254:141:255), 22055, 0, RL
(l:254:142:255), 215049, 0, RN
(l:254:143:255), 903338, 0, RR
(l:254:144:254), 202086, 0, SN_c
(l:254:144:255), 418066, 0, SN_r
(l:254:146:255), 2348087, 0, MRN
(l:254:147:255), 1291928, 0, PAG
(l:255:100:255), 190027, 0, BORDER5
(l:255:124:159), 192681, 0, MG_v
(l:255:155:136), 2927, 0, border7
(l:255:186:134), 1064136, 0, PG
(l:255:187:134), 264260, 0, TRN
(l:255:188:134), 889840, 0, PRNr
(l:255:189:134), 158361, 0, CS_m
(l:255:255:255), 39462780, 0, BORDER6
(r:0:159:167), 14481, 0, PTLp_6b
(r:0:159:168), 73590, 0, PTLp_6a
(r:0:159:169), 137807, 0, PTLp_5
(r:0:159:170), 38052, 0, PTLp_4
(r:0:159:171), 105744, 0, PTLp_2/3
(r:0:159:172), 67872, 0, PTLp_1
(r:1:145:148), 19234, 0, AUDd_6b
(r:1:145:149), 65264, 0, AUDd_6a
(r:1:145:150), 163763, 0, AUDd_5
(r:1:145:151), 42593, 0, AUDd_4
(r:1:145:152), 137238, 0, AUDd_2/3
(r:1:145:153), 71222, 0, AUDd_1
(r:1:148:148), 35002, 0, AUDpo_6b
(r:1:148:149), 92499, 0, AUDPo_6a
(r:1:148:150), 306614, 0, AUDPo_5
(r:1:148:151), 84256, 0, AUDPo_4
(r:1:148:152), 229047, 0, AUDPo_2/3
(r:1:148:153), 99431, 0, AUDPo_1
(r:8:131:135), 47331, 0, VISal_6b
(r:8:131:136), 239468, 0, VISal_6a
(r:8:131:137), 411083, 0, VISal_5
(r:8:131:138), 123057, 0, VISal_4
(r:8:131:139), 372197, 0, VISal_2/3
(r:8:131:140), 170571, 0, VISal_1
(r:8:132:135), 68580, 0, VISp_6b
(r:8:132:136), 341357, 0, VISp_6a
(r:8:132:137), 600671, 0, VISp_5
(r:8:132:138), 322989, 0, VISp_4
(r:8:132:139), 606412, 0, VISp_2/3
(r:8:132:140), 292540, 0, VISp_1
(r:8:133:135), 41761, 0, VISam_6b
(r:8:133:136), 168829, 0, VISam_6a
(r:8:133:137), 279656, 0, VISam_5
(r:8:133:138), 103657, 1, VISam_4
(r:8:133:139), 351758, 4, VISam_2/3
(r:8:133:140), 204216, 1, VISam_1
(r:13:159:141), 31421, 0, ECT_6b
(r:13:159:142), 48312, 0, ECT_6a
(r:13:159:143), 125651, 0, ECT_5
(r:13:159:144), 133709, 0, ECT_2/3
(r:13:159:145), 92657, 0, ECT_1
(r:14:150:128), 15694, 0, PERI_6b
(r:14:150:129), 22484, 0, PERI_6a
(r:14:150:130), 68901, 0, PERI_5
(r:14:150:131), 48988, 0, PERI_2/3
(r:14:150:132), 88725, 0, PERI_1
(r:21:176:174), 43712, 0, TEa_6b
(r:21:176:175), 95436, 0, TEa_6a
(r:21:176:176), 266934, 0, TEa_5
(r:21:176:177), 47823, 0, TEa_4
(r:21:176:178), 155383, 0, TEa_2/3
(r:21:176:179), 112784, 0, TEa_1
