Metalines: 11
Project Name: SW110613-02B_olivaw
Case Name: SW110613-02B
Slide Number: 2_12
Channel Number: 2
ARA Level: 084
Tracer: PHAL
Injection Site: PL_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 31796, 0, PTLp_6b
(l:0:159:168), 91380, 0, PTLp_6a
(l:0:159:169), 222119, 0, PTLp_5
(l:0:159:170), 80226, 0, PTLp_4
(l:0:159:171), 195257, 0, PTLp_2/3
(l:0:159:172), 81974, 0, PTLp_1
(l:1:145:148), 38201, 62, AUDd_6b
(l:1:145:149), 112480, 1466, AUDd_6a
(l:1:145:150), 271664, 256, AUDd_5
(l:1:145:151), 103029, 13, AUDd_4
(l:1:145:152), 218385, 2, AUDd_2/3
(l:1:145:153), 104588, 0, AUDd_1
(l:1:146:148), 46747, 86, AUDp_6b
(l:1:146:149), 124941, 509, AUDp_6a
(l:1:146:150), 338047, 0, AUDp_5
(l:1:146:151), 131844, 0, AUDp_4
(l:1:146:152), 241002, 2, AUDp_2/3
(l:1:146:153), 125706, 3, AUDp_1
(l:1:147:148), 35871, 46, AUDv_6b
(l:1:147:149), 84465, 415, AUDv_6a
(l:1:147:150), 231212, 627, AUDv_5
(l:1:147:151), 79776, 0, AUDv_4
(l:1:147:152), 154549, 573, AUDv_2/3
(l:1:147:153), 61524, 49, AUDv_1
(l:8:131:135), 120087, 0, VISal_6b
(l:8:131:136), 293150, 146, VISal_6a
(l:8:131:137), 652691, 5, VISal_5
(l:8:131:138), 212003, 0, VISal_4
(l:8:131:139), 582748, 0, VISal_2/3
(l:8:131:140), 315647, 0, VISal_1
(l:8:132:135), 76891, 82, VISp_6b
(l:8:132:136), 161769, 413, VISp_6a
(l:8:132:137), 430157, 177, VISp_5
(l:8:132:138), 163744, 0, VISp_4
(l:8:132:139), 503284, 0, VISp_2/3
(l:8:132:140), 197866, 0, VISp_1
