Metalines: 11
Project Name: SW110614-01B
Case Name: SW110614-01B
Slide Number: 1_05
Channel Number: 5
ARA Level: 031
Tracer: CTB-647 pixel count
Injection Site: ACAd_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:31:156:86), 240467, 1, MOs_6a
(l:31:156:88), 839926, 1, MOs_5
(l:31:156:89), 812330, 1, MOs_2/3
(l:31:156:90), 446794, 0, MOs_1
(l:31:157:86), 256892, 2, MOp_6a
(l:31:157:88), 1076242, 0, MOp_5
(l:31:157:89), 1609424, 0, MOp_2/3
(l:31:157:90), 697632, 0, MOp_1
(l:33:152:98), 39804, 0, AId_6a
(l:33:152:100), 276292, 1, AId_5
(l:33:152:101), 617472, 2, AId_2/3
(l:33:152:102), 261743, 0, AId_1
(l:36:136:91), 117258, 5, ORBm_6a
(l:36:136:92), 148443, 1, ORBm_5
(l:36:136:93), 157862, 1, ORBm_2/3
(l:36:136:95), 90143, 0, ORBm_2
(l:36:136:96), 124291, 0, ORBm_1
(l:36:137:91), 26459, 1, ORBvl_6a
(l:36:137:92), 128468, 3, ORBvl_5
(l:36:137:93), 246423, 3, ORBvl_2/3
(l:36:137:94), 59472, 0, ORBvl_1
(l:36:138:91), 229385, 5, ORBl_6a
(l:36:138:92), 346837, 16, ORBl_5
(l:36:138:93), 490891, 5, ORBl_2/3
(l:36:138:94), 145795, 0, ORBl_1
(l:47:168:76), 161941, 4, PL_6a
(l:47:168:77), 283224, 3, PL_5
(l:47:168:79), 264723, 2, PL_2/3
(l:47:168:80), 143461, 0, PL_2
(l:47:168:81), 227765, 1, PL_1
(l:64:166:98), 43816, 1, ACAd_6a
(l:64:166:100), 171724, 1, ACAd_5
(l:64:166:101), 197493, 1, ACAd_2/3
(l:64:166:102), 142873, 0, ACAd_1
(l:84:191:146), 232015, 0, AON_d
(l:84:191:147), 661607, 0, AON_pv
(l:84:191:148), 456871, 0, AON_m
(l:84:191:149), 789267, 0, AON_1
(l:89:179:94), 83638, 4, ILA_6a
(l:89:179:95), 199194, 5, ILA_5
(l:89:179:97), 213823, 0, ILA_2/3
(l:89:179:98), 152009, 0, ILA_2
(l:89:179:99), 64740, 0, ILA_1
(l:98:207:157), 148904, 0, TTv_3
(l:98:207:158), 240755, 0, TTv_2
(l:98:207:159), 316510, 0, TTv_1
(l:98:208:157), 280401, 0, TTd_3
(l:98:208:158), 171915, 0, TTd_2
(l:98:208:159), 297692, 0, TTd_1
(l:106:203:184), 291582, 0, PIR_3
(l:106:203:185), 937009, 0, PIR_2
(l:106:203:186), 651307, 0, PIR_1
(l:154:210:189), 180427, 0, border9
(l:170:170:170), 37425, 0, rc/sez
(l:176:255:184), 8502, 0, BORDER1
(l:191:218:227), 89, 0, BORDER0
(l:204:204:206), 271164, 0, lot
(l:204:204:207), 338026, 0, aco
(l:255:255:255), 62855565, 0, BORDER6
(r:31:156:86), 240461, 7, MOs_6a
(r:31:156:88), 839926, 1, MOs_5
(r:31:156:89), 812325, 6, MOs_2/3
(r:31:156:90), 446794, 0, MOs_1
(r:31:157:86), 256890, 4, MOp_6a
(r:31:157:88), 1076242, 0, MOp_5
(r:31:157:89), 1609424, 0, MOp_2/3
(r:31:157:90), 697632, 0, MOp_1
(r:33:152:98), 39804, 0, AId_6a
(r:33:152:100), 276292, 1, AId_5
(r:33:152:101), 617471, 3, AId_2/3
(r:33:152:102), 261741, 2, AId_1
(r:36:136:91), 117260, 3, ORBm_6a
(r:36:136:92), 148437, 7, ORBm_5
(r:36:136:93), 157862, 1, ORBm_2/3
(r:36:136:95), 90143, 0, ORBm_2
(r:36:136:96), 124291, 0, ORBm_1
(r:36:137:91), 26459, 1, ORBvl_6a
(r:36:137:92), 128464, 7, ORBvl_5
(r:36:137:93), 246421, 5, ORBvl_2/3
(r:36:137:94), 59471, 1, ORBvl_1
(r:36:138:91), 229382, 8, ORBl_6a
(r:36:138:92), 346841, 12, ORBl_5
(r:36:138:93), 490875, 21, ORBl_2/3
(r:36:138:94), 145794, 1, ORBl_1
(r:47:168:76), 161932, 13, PL_6a
(r:47:168:77), 283223, 4, PL_5
(r:47:168:79), 264725, 0, PL_2/3
(r:47:168:80), 143461, 0, PL_2
(r:47:168:81), 227766, 0, PL_1
(r:64:166:98), 43812, 5, ACAd_6a
(r:64:166:100), 171721, 4, ACAd_5
(r:64:166:101), 197490, 4, ACAd_2/3
(r:64:166:102), 142873, 0, ACAd_1
(r:84:191:146), 232015, 0, AON_d
(r:84:191:147), 661607, 0, AON_pv
(r:84:191:148), 456871, 0, AON_m
(r:84:191:149), 789267, 0, AON_1
(r:89:179:94), 83637, 5, ILA_6a
(r:89:179:95), 199194, 5, ILA_5
(r:89:179:97), 213820, 3, ILA_2/3
(r:89:179:98), 152009, 0, ILA_2
(r:89:179:99), 64740, 0, ILA_1
(r:98:207:157), 148904, 0, TTv_3
(r:98:207:158), 240755, 0, TTv_2
(r:98:207:159), 316510, 0, TTv_1
(r:98:208:157), 280401, 0, TTd_3
(r:98:208:158), 171915, 0, TTd_2
(r:98:208:159), 297692, 0, TTd_1
(r:106:203:184), 291582, 0, PIR_3
(r:106:203:185), 937009, 0, PIR_2
(r:106:203:186), 651307, 0, PIR_1
(r:154:210:189), 180427, 0, border9
(r:170:170:170), 37425, 0, rc/sez
(r:176:255:184), 8502, 0, BORDER1
(r:191:218:227), 89, 0, BORDER0
(r:204:204:206), 271164, 0, lot
(r:204:204:207), 338026, 0, aco
(r:255:255:255), 62855565, 0, BORDER6
