Metalines: 11
Project Name: SW110808-04A
Case Name: SW110808-04A
Slide Number: 2_07
Channel Number: 2
ARA Level: 074
Tracer: PHAL
Injection Site: PL_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:1:145:148), 41291, 16, AUDd_6b
(l:1:145:149), 229787, 459, AUDd_6a
(l:1:145:150), 252751, 0, AUDd_5
(l:1:145:151), 132084, 0, AUDd_4
(l:1:145:152), 284671, 0, AUDd_2/3
(l:1:145:153), 134474, 0, AUDd_1
(l:1:146:148), 34419, 0, AUDp_6b
(l:1:146:149), 216057, 51, AUDp_6a
(l:1:146:150), 255453, 70, AUDp_5
(l:1:146:151), 130918, 0, AUDp_4
(l:1:146:152), 266837, 6, AUDp_2/3
(l:1:146:153), 136430, 0, AUDp_1
(l:1:147:148), 33945, 45, AUDv_6b
(l:1:147:149), 211912, 368, AUDv_6a
(l:1:147:150), 264315, 213, AUDv_5
(l:1:147:151), 100508, 115, AUDv_4
(l:1:147:152), 262401, 1148, AUDv_2/3
(l:1:147:153), 157817, 527, AUDv_1
(l:13:159:141), 21916, 406, ECT_6b
(l:13:159:142), 81447, 2252, ECT_6a
(l:13:159:143), 162615, 311, ECT_5
(l:13:159:144), 133547, 1504, ECT_2/3
(l:13:159:145), 89992, 40, ECT_1
(l:14:150:128), 28187, 1190, PERI_6b
(l:14:150:129), 52007, 2004, PERI_6a
(l:14:150:130), 154436, 1539, PERI_5
(l:14:150:131), 139475, 270, PERI_2/3
(l:14:150:132), 79857, 0, PERI_1
(l:21:176:174), 28404, 247, TEa_6b
(l:21:176:175), 182498, 2091, TEa_6a
(l:21:176:176), 257226, 955, TEa_5
(l:21:176:177), 69874, 191, TEa_4
(l:21:176:178), 169251, 2692, TEa_2/3
(l:21:176:179), 153831, 1015, TEa_1
(l:24:113:95), 180477, 1066, SSp_tr_6b
(l:24:113:96), 376890, 696, SSp_tr_6a
(l:24:113:97), 936111, 4, SSp_tr_5
(l:24:113:98), 325842, 9, SSp_tr_4
(l:24:113:99), 908943, 0, SSp_tr_2/3
(l:24:113:100), 411132, 74, SSp_tr_1
(l:24:114:95), 87339, 334, SSp_bfd_6b
(l:24:114:96), 553163, 524, SSp_bfd_6a
(l:24:114:97), 655726, 0, SSp_bfd_5
(l:24:114:98), 346137, 0, SSp_bfd_4
(l:24:114:99), 648380, 0, SSp_bfd_2/3
(l:24:114:100), 251878, 0, SSp_bfd_1
(l:26:165:147), 21455, 7, RSPv_6b
