Metalines: 11
Project Name: SW120403-02A
Case Name: SW120403-02A
Slide Number: 1_11
Channel Number: 2
ARA Level: 042
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:156:112), 23476, 0, GU_6b
(l:0:156:113), 243108, 36, GU_6a
(l:0:156:114), 334778, 0, GU_5
(l:0:156:115), 92350, 0, GU_4
(l:0:156:116), 266837, 0, GU_2/3
(l:0:156:117), 188410, 0, GU_1
(l:24:116:95), 171247, 10, SSp_m_6b
(l:24:116:96), 1007192, 0, SSp_m_6a
(l:24:116:97), 1428255, 0, SSp_m_5
(l:24:116:98), 536543, 0, SSp_m_4
(l:24:116:99), 1303717, 0, SSp_m_2/3
(l:24:116:100), 667166, 17, SSp_m_1
(l:31:156:85), 58233, 262, MOs_6b
(l:31:156:86), 577572, 1705, MOs_6a
(l:31:156:88), 599548, 214, MOs_5
(l:31:156:89), 333174, 0, MOs_2/3
(l:31:156:90), 183886, 0, MOs_1
(l:31:157:85), 77484, 89, MOp_6b
(l:31:157:86), 594637, 0, MOp_6a
(l:31:157:88), 747278, 0, MOp_5
(l:31:157:89), 628189, 0, MOp_2/3
(l:31:157:90), 235102, 0, MOp_1
(l:33:151:100), 108647, 644, AIv_5
(l:33:151:101), 211709, 12, AIv_2/3
(l:33:151:102), 90980, 1, AIv_1
(l:33:152:98), 22597, 336, AId_6a
(l:33:152:100), 202943, 938, AId_5
(l:33:152:101), 221918, 0, AId_2/3
(l:33:152:102), 146738, 13, AId_1
(l:64:165:98), 41749, 2624, ACAv_6b
(l:64:165:99), 174233, 43122, ACAv_6a
(l:64:165:100), 145601, 44325, ACAv_5
(l:64:165:101), 102607, 38531, ACAv_2/3
(l:64:165:102), 147227, 46100, ACAv_1
(l:64:166:97), 20453, 541, ACAd_6b
(l:64:166:98), 206223, 12198, ACAd_6a
(l:64:166:100), 196492, 3010, ACAd_5
(l:64:166:101), 169905, 811, ACAd_2/3
(l:64:166:102), 174336, 452, ACAd_1
(l:89:179:93), 62943, 1550, ILA_6b
(l:89:179:94), 85687, 4851, ILA_6a
(l:89:179:95), 113501, 11393, ILA_5
(l:89:179:97), 93509, 19101, ILA_2/3
(l:89:179:99), 114917, 22882, ILA_1
(l:98:208:156), 87390, 70, TTd_4
(l:98:208:157), 210709, 449, TTd_3
(l:98:208:158), 159851, 42, TTd_2
(l:98:208:159), 156048, 205, TTd_1
(l:106:203:184), 556409, 0, PIR_3
(l:106:203:185), 553796, 0, PIR_2
(l:106:203:186), 559163, 1, PIR_1
(l:128:204:249), 95464, 0, isl
(l:128:204:250), 44589, 0, islm
(l:128:205:246), 530880, 0, OT_3
(l:128:205:247), 556018, 0, OT_2
(l:128:205:248), 948982, 0, OT_1
(l:128:225:248), 3983918, 1626, ACB
(l:138:218:135), 433504, 16256, CLA
(l:144:203:236), 50518, 0, SH
(l:144:203:237), 514654, 0, SI
(l:144:204:237), 896063, 1301, LS_r
(l:150:167:211), 498812, 0, NDB
(l:152:214:249), 4048072, 115169, CP
(l:154:210:189), 6, 0, border9
(l:160:238:157), 417095, 91, EP_d
(l:170:170:169), 172383, 621, VL
(l:176:255:184), 75373, 2, BORDER1
(l:191:218:227), 504147, 995, BORDER0
(l:204:204:206), 122793, 13, lot
(l:204:204:207), 120703, 0, aco
(l:204:204:209), 1241712, 10305, fa
(l:255:255:255), 49909209, 0, BORDER6
(r:0:156:112), 23459, 17, GU_6b
(r:0:156:113), 243121, 23, GU_6a
(r:0:156:114), 334778, 0, GU_5
(r:0:156:115), 92350, 0, GU_4
(r:0:156:116), 266837, 0, GU_2/3
(r:0:156:117), 188410, 0, GU_1
(r:24:116:95), 171246, 11, SSp_m_6b
(r:24:116:96), 1007192, 0, SSp_m_6a
(r:24:116:97), 1428255, 0, SSp_m_5
(r:24:116:98), 536543, 0, SSp_m_4
(r:24:116:99), 1303717, 0, SSp_m_2/3
(r:24:116:100), 667183, 0, SSp_m_1
(r:31:156:85), 58457, 38, MOs_6b
(r:31:156:86), 579277, 0, MOs_6a
(r:31:156:88), 599762, 0, MOs_5
(r:31:156:89), 333174, 0, MOs_2/3
(r:31:156:90), 183886, 0, MOs_1
(r:31:157:85), 77573, 0, MOp_6b
(r:31:157:86), 594637, 0, MOp_6a
(r:31:157:88), 747278, 0, MOp_5
(r:31:157:89), 628189, 0, MOp_2/3
(r:31:157:90), 235102, 0, MOp_1
(r:33:151:100), 108671, 620, AIv_5
(r:33:151:101), 211692, 29, AIv_2/3
(r:33:151:102), 90981, 0, AIv_1
(r:33:152:98), 22892, 41, AId_6a
(r:33:152:100), 203607, 274, AId_5
(r:33:152:101), 221918, 0, AId_2/3
(r:33:152:102), 146751, 0, AId_1
(r:64:165:98), 44373, 0, ACAv_6b
(r:64:165:99), 217355, 0, ACAv_6a
(r:64:165:100), 189926, 0, ACAv_5
(r:64:165:101), 141138, 0, ACAv_2/3
(r:64:165:102), 193327, 0, ACAv_1
(r:64:166:97), 20977, 17, ACAd_6b
(r:64:166:98), 218421, 0, ACAd_6a
(r:64:166:100), 199502, 0, ACAd_5
(r:64:166:101), 170716, 0, ACAd_2/3
(r:64:166:102), 174788, 0, ACAd_1
(r:89:179:93), 64493, 0, ILA_6b
(r:89:179:94), 90538, 0, ILA_6a
(r:89:179:95), 124894, 0, ILA_5
(r:89:179:97), 112610, 0, ILA_2/3
(r:89:179:99), 137799, 0, ILA_1
(r:98:208:156), 87432, 28, TTd_4
(r:98:208:157), 210265, 893, TTd_3
(r:98:208:158), 159811, 82, TTd_2
(r:98:208:159), 156226, 27, TTd_1
(r:106:203:184), 556368, 41, PIR_3
(r:106:203:185), 553768, 28, PIR_2
(r:106:203:186), 559164, 0, PIR_1
(r:128:204:249), 95464, 0, isl
(r:128:204:250), 44485, 104, islm
(r:128:205:246), 530880, 0, OT_3
(r:128:205:247), 555968, 50, OT_2
(r:128:205:248), 948236, 746, OT_1
(r:128:225:248), 3974242, 11302, ACB
(r:138:218:135), 434907, 14853, CLA
(r:144:203:236), 50421, 97, SH
(r:144:203:237), 514654, 0, SI
(r:144:204:237), 893186, 4178, LS_r
(r:150:167:211), 495813, 2999, NDB
(r:152:214:249), 3786852, 376389, CP
(r:154:210:189), 6, 0, border9
(r:160:238:157), 416440, 746, EP_d
(r:170:170:169), 168426, 4578, VL
(r:176:255:184), 75360, 15, BORDER1
(r:191:218:227), 502086, 3056, BORDER0
(r:204:204:206), 122806, 0, lot
(r:204:204:207), 120703, 0, aco
(r:204:204:209), 1248231, 3786, fa
(r:255:255:255), 49909209, 0, BORDER6
