Metalines: 11
Project Name: SW120404-02A
Case Name: SW120404-02A
Slide Number: 2_13
Channel Number: 2
ARA Level: 085
Tracer: PHAL
Injection Site: ILA_2/3
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 34110, 0, PTLp_6b
(l:0:159:168), 104121, 0, PTLp_6a
(l:0:159:169), 237089, 0, PTLp_5
(l:0:159:170), 64145, 0, PTLp_4
(l:0:159:171), 148114, 0, PTLp_2/3
(l:0:159:172), 74731, 0, PTLp_1
(l:1:145:148), 37551, 0, AUDd_6b
(l:1:145:149), 136751, 0, AUDd_6a
(l:1:145:150), 277571, 0, AUDd_5
(l:1:145:151), 119464, 0, AUDd_4
(l:1:145:152), 202980, 0, AUDd_2/3
(l:1:145:153), 114037, 5, AUDd_1
(l:1:146:148), 62700, 16, AUDp_6b
(l:1:146:149), 171436, 0, AUDp_6a
(l:1:146:150), 325816, 45, AUDp_5
(l:1:146:151), 159079, 0, AUDp_4
(l:1:146:152), 306243, 0, AUDp_2/3
(l:1:146:153), 124796, 0, AUDp_1
(l:1:147:148), 27579, 0, AUDv_6b
(l:1:147:149), 85202, 0, AUDv_6a
(l:1:147:150), 196840, 3, AUDv_5
(l:1:147:151), 79640, 0, AUDv_4
(l:1:147:152), 139010, 23, AUDv_2/3
(l:1:147:153), 80559, 6, AUDv_1
(l:8:131:135), 81007, 0, VISal_6b
(l:8:131:136), 190098, 6, VISal_6a
(l:8:131:137), 454538, 0, VISal_5
(l:8:131:138), 157552, 0, VISal_4
(l:8:131:139), 403267, 0, VISal_2/3
(l:8:131:140), 198085, 4, VISal_1
(l:8:132:135), 118831, 0, VISp_6b
(l:8:132:136), 279232, 0, VISp_6a
(l:8:132:137), 509277, 0, VISp_5
(l:8:132:138), 225498, 0, VISp_4
(l:8:132:139), 575851, 46, VISp_2/3
(l:8:132:140), 280441, 11, VISp_1
(l:8:133:135), 94061, 0, VISam_6b
(l:8:133:136), 226905, 94, VISam_6a
(l:8:133:137), 417961, 180, VISam_5
(l:8:133:138), 155378, 0, VISam_4
(l:8:133:139), 381495, 5, VISam_2/3
(l:8:133:140), 221355, 0, VISam_1
(l:13:159:141), 34787, 66, ECT_6b
(l:13:159:142), 76392, 881, ECT_6a
(l:13:159:143), 157435, 929, ECT_5
(l:13:159:144), 98631, 2240, ECT_2/3
(l:13:159:145), 84887, 851, ECT_1
(l:14:150:128), 17707, 145, PERI_6b
(l:14:150:129), 59026, 756, PERI_6a
(l:14:150:130), 109340, 222, PERI_5
(l:14:150:131), 126822, 0, PERI_2/3
(l:14:150:132), 97321, 437, PERI_1
(l:21:176:174), 33118, 271, TEa_6b
(l:21:176:175), 113160, 186, TEa_6a
(l:21:176:176), 226758, 199, TEa_5
(l:21:176:177), 64349, 187, TEa_4
(l:21:176:178), 132273, 382, TEa_2/3
(l:21:176:179), 77762, 387, TEa_1
(l:26:165:147), 35948, 368, RSPv_6b
(l:26:165:148), 540461, 204, RSPv_6a
(l:26:165:149), 735954, 22, RSPv_5
(l:26:165:150), 346682, 0, RSPv_2/3
(l:26:165:151), 185341, 0, RSPv_2
(l:26:165:152), 437954, 16, RSPv_1
(l:26:166:148), 17154, 0, RSPd_6b
(l:26:166:149), 121526, 1, RSPd_6a
(l:26:166:150), 243739, 0, RSPd_5
(l:26:166:151), 152321, 0, RSPd_2/3
(l:26:166:152), 91974, 0, RSPd_1
(l:26:167:148), 17671, 0, RSPagl_6b
(l:26:167:149), 72504, 0, RSPagl_6a
(l:26:167:150), 146462, 171, RSPagl_5
(l:26:167:151), 186639, 0, RSPagl_2/3
(l:26:167:152), 88933, 0, RSPagl_1
(l:50:184:28), 139836, 559, ENTl_6b
(l:50:184:29), 236466, 3400, ENTl_6a
(l:50:184:30), 423813, 1761, ENTl_5
(l:50:184:32), 208278, 33, ENTl_4
(l:50:184:34), 393380, 0, ENTl_3
(l:50:184:35), 261723, 17, ENTl_2b
(l:50:184:36), 248575, 6, ENTl_2a
(l:50:184:38), 459212, 116, ENTl_1
(l:75:181:71), 131004, 0, SUBd_m
(l:75:181:72), 256892, 0, SUBd_sr
(l:75:181:73), 668746, 1, SUBd_sp
(l:75:182:71), 312238, 64, SUBv_m
(l:75:182:72), 354527, 219, SUBv_sr
(l:75:182:73), 601183, 14, SUBv_sp
(l:97:232:180), 366229, 185, COApm_3
(l:97:232:181), 152112, 230, COApm_2
(l:97:232:182), 186853, 48, COApm_1
(l:126:209:75), 1306259, 752, DG_mo
(l:126:209:76), 491715, 4, DG_sg
(l:126:209:77), 207451, 14, DG_po
(l:126:210:75), 522824, 10, CA3_so
(l:126:210:76), 475960, 19, CA3_sp
(l:126:210:77), 172133, 0, CA3_slu
(l:126:210:78), 1491357, 13, CA3_sr
(l:126:212:75), 913840, 20, CA1_so
(l:126:212:76), 1041423, 0, CA1_sp
(l:126:212:77), 1521967, 22, CA1_sr
(l:126:212:78), 1679826, 151, CA1_slm
(l:151:236:147), 106988, 0, PA
(l:154:210:189), 29462, 96, border9
(l:160:238:156), 116127, 0, Ep_v
(l:168:236:209), 381626, 1, TR_3
(l:168:236:210), 305776, 27, TR_2
(l:168:236:211), 429341, 30, TR_1
(l:170:170:169), 9501, 1039, VL
(l:176:255:184), 73179, 50, BORDER1
(l:191:218:227), 46011, 14, BORDER0
(l:204:204:106), 25155, 799, mtg
(l:204:204:166), 583840, 331, dhc/alv
(l:204:204:167), 785519, 145, fp/ec
(l:204:204:168), 23956, 57, mlf
(l:204:204:170), 214565, 451, rust/ml
(l:204:204:174), 59804, 2432, csc
(l:204:204:177), 390642, 697, cpd
(l:204:204:187), 206749, 565, bsc
(l:204:204:196), 44339, 305, fr
(l:242:107:59), 91664, 0, MM
(l:254:119:255), 79895, 951, ND
(l:254:120:255), 158781, 10, NOT
(l:254:131:255), 67975, 3223, IF
(l:254:132:253), 233672, 4, SCs_zo
(l:254:132:254), 272636, 407, SCs_sg
(l:254:132:255), 273526, 520, SCs_op
(l:254:133:249), 26815, 777, SCm_dw
(l:254:133:251), 182319, 2945, SCM_ig-c
(l:254:133:252), 1120817, 3593, SCM_ig-b
(l:254:133:253), 875531, 857, SCM_ig-a
(l:254:133:255), 328521, 4954, SCm_dg
(l:254:134:255), 353434, 1609, IPN
(l:254:135:255), 61683, 356, INC
(l:254:140:255), 41784, 1214, EW
(l:254:141:255), 44088, 395, RL
(l:254:142:255), 377342, 246, RN
(l:254:144:254), 480848, 7117, SN_c
(l:254:144:255), 1592590, 1693, SN_r
(l:254:145:255), 529390, 10361, VTA
(l:254:146:255), 2535427, 7470, MRN
(l:254:147:255), 497089, 24896, PAG
(l:254:149:255), 522459, 0, APN
(l:255:100:255), 216656, 4059, BORDER5
(l:255:112:128), 211383, 572, BORDER2
(l:255:124:159), 453054, 0, MG_v
(l:255:124:160), 167201, 114, MG_m
(l:255:124:161), 209545, 0, MG_d
(l:255:125:159), 125183, 8, POL
(l:255:126:159), 179108, 767, PP
(l:255:130:160), 234514, 398, SPF_p
(l:255:131:159), 138377, 0, LP
(l:255:158:159), 94940, 0, SGN
(l:255:255:255), 35852618, 0, BORDER6
(r:0:159:167), 34110, 0, PTLp_6b
(r:0:159:168), 104121, 0, PTLp_6a
(r:0:159:169), 237056, 33, PTLp_5
(r:0:159:170), 64145, 0, PTLp_4
(r:0:159:171), 148114, 0, PTLp_2/3
(r:0:159:172), 74660, 71, PTLp_1
(r:1:145:148), 37551, 0, AUDd_6b
(r:1:145:149), 136751, 0, AUDd_6a
(r:1:145:150), 277571, 0, AUDd_5
(r:1:145:151), 119464, 0, AUDd_4
(r:1:145:152), 202980, 0, AUDd_2/3
(r:1:145:153), 114011, 31, AUDd_1
(r:1:146:148), 62716, 0, AUDp_6b
(r:1:146:149), 171436, 0, AUDp_6a
(r:1:146:150), 325861, 0, AUDp_5
(r:1:146:151), 159079, 0, AUDp_4
(r:1:146:152), 306243, 0, AUDp_2/3
(r:1:146:153), 124796, 0, AUDp_1
(r:1:147:148), 27383, 196, AUDv_6b
(r:1:147:149), 85202, 0, AUDv_6a
(r:1:147:150), 196843, 0, AUDv_5
(r:1:147:151), 79640, 0, AUDv_4
(r:1:147:152), 139033, 0, AUDv_2/3
(r:1:147:153), 80466, 99, AUDv_1
(r:8:131:135), 81007, 0, VISal_6b
(r:8:131:136), 190104, 0, VISal_6a
(r:8:131:137), 454516, 22, VISal_5
(r:8:131:138), 157552, 0, VISal_4
(r:8:131:139), 403267, 0, VISal_2/3
(r:8:131:140), 198089, 0, VISal_1
(r:8:132:135), 118831, 0, VISp_6b
(r:8:132:136), 279218, 14, VISp_6a
(r:8:132:137), 509273, 4, VISp_5
(r:8:132:138), 225487, 11, VISp_4
(r:8:132:139), 575897, 0, VISp_2/3
(r:8:132:140), 280452, 0, VISp_1
(r:8:133:135), 93640, 421, VISam_6b
(r:8:133:136), 226900, 99, VISam_6a
(r:8:133:137), 418083, 58, VISam_5
(r:8:133:138), 155305, 73, VISam_4
(r:8:133:139), 381497, 3, VISam_2/3
(r:8:133:140), 221212, 143, VISam_1
(r:13:159:141), 30693, 4160, ECT_6b
(r:13:159:142), 69628, 7645, ECT_6a
(r:13:159:143), 156623, 1741, ECT_5
(r:13:159:144), 99086, 1785, ECT_2/3
(r:13:159:145), 85027, 711, ECT_1
(r:14:150:128), 16245, 1607, PERI_6b
(r:14:150:129), 57755, 2027, PERI_6a
(r:14:150:130), 109413, 149, PERI_5
(r:14:150:131), 126673, 149, PERI_2/3
(r:14:150:132), 97737, 21, PERI_1
(r:21:176:174), 32828, 561, TEa_6b
(r:21:176:175), 110769, 2577, TEa_6a
(r:21:176:176), 226075, 882, TEa_5
(r:21:176:177), 64450, 86, TEa_4
(r:21:176:178), 131486, 1169, TEa_2/3
(r:21:176:179), 78107, 42, TEa_1
(r:26:165:147), 36316, 0, RSPv_6b
(r:26:165:148), 540455, 210, RSPv_6a
(r:26:165:149), 735949, 27, RSPv_5
(r:26:165:150), 346604, 78, RSPv_2/3
(r:26:165:151), 185313, 28, RSPv_2
(r:26:165:152), 437866, 104, RSPv_1
(r:26:166:148), 17154, 0, RSPd_6b
(r:26:166:149), 121527, 0, RSPd_6a
(r:26:166:150), 243715, 24, RSPd_5
(r:26:166:151), 152321, 0, RSPd_2/3
(r:26:166:152), 91974, 0, RSPd_1
(r:26:167:148), 17671, 0, RSPagl_6b
(r:26:167:149), 72387, 117, RSPagl_6a
(r:26:167:150), 146466, 167, RSPagl_5
(r:26:167:151), 186639, 0, RSPagl_2/3
(r:26:167:152), 88933, 0, RSPagl_1
(r:50:184:28), 135723, 4672, ENTl_6b
(r:50:184:29), 232736, 7130, ENTl_6a
(r:50:184:30), 418463, 7111, ENTl_5
(r:50:184:32), 207803, 508, ENTl_4
(r:50:184:34), 393329, 51, ENTl_3
(r:50:184:35), 261740, 0, ENTl_2b
(r:50:184:36), 248581, 0, ENTl_2a
(r:50:184:38), 459231, 97, ENTl_1
(r:75:181:71), 130922, 82, SUBd_m
(r:75:181:72), 256892, 0, SUBd_sr
(r:75:181:73), 668731, 16, SUBd_sp
(r:75:182:71), 312298, 4, SUBv_m
(r:75:182:72), 354737, 9, SUBv_sr
(r:75:182:73), 601197, 0, SUBv_sp
(r:97:232:180), 366265, 149, COApm_3
(r:97:232:181), 152342, 0, COApm_2
(r:97:232:182), 186901, 0, COApm_1
(r:126:209:75), 1306856, 155, DG_mo
(r:126:209:76), 491717, 2, DG_sg
(r:126:209:77), 207465, 0, DG_po
(r:126:210:75), 520744, 2090, CA3_so
(r:126:210:76), 475979, 0, CA3_sp
(r:126:210:77), 172133, 0, CA3_slu
(r:126:210:78), 1491338, 32, CA3_sr
(r:126:212:75), 913852, 8, CA1_so
(r:126:212:76), 1041183, 240, CA1_sp
(r:126:212:77), 1521981, 8, CA1_sr
(r:126:212:78), 1679910, 67, CA1_slm
(r:151:236:147), 106769, 219, PA
(r:154:210:189), 29520, 38, border9
(r:160:238:156), 115270, 857, Ep_v
(r:168:236:209), 381615, 12, TR_3
(r:168:236:210), 305695, 108, TR_2
(r:168:236:211), 426405, 2966, TR_1
(r:170:170:169), 10263, 277, VL
(r:176:255:184), 72998, 231, BORDER1
(r:191:218:227), 45713, 312, BORDER0
(r:204:204:106), 24242, 1712, mtg
(r:204:204:166), 584109, 62, dhc/alv
(r:204:204:167), 784785, 879, fp/ec
(r:204:204:168), 23165, 848, mlf
(r:204:204:170), 202652, 12364, rust/ml
(r:204:204:174), 57197, 5039, csc
(r:204:204:177), 371679, 19660, cpd
(r:204:204:187), 206470, 844, bsc
(r:204:204:196), 41898, 2746, fr
(r:242:107:59), 91664, 0, MM
(r:254:119:255), 80505, 341, ND
(r:254:120:255), 158416, 375, NOT
(r:254:131:255), 65825, 5373, IF
(r:254:132:253), 233187, 489, SCs_zo
(r:254:132:254), 272635, 408, SCs_sg
(r:254:132:255), 268645, 5401, SCs_op
(r:254:133:249), 25806, 1786, SCm_dw
(r:254:133:251), 174202, 11062, SCM_ig-c
(r:254:133:252), 1105897, 18513, SCM_ig-b
(r:254:133:253), 874126, 2262, SCM_ig-a
(r:254:133:255), 311662, 21813, SCm_dg
(r:254:134:255), 343575, 11468, IPN
(r:254:135:255), 61518, 521, INC
(r:254:140:255), 41514, 1484, EW
(r:254:141:255), 42736, 1747, RL
(r:254:142:255), 375432, 2156, RN
(r:254:144:254), 451837, 36128, SN_c
(r:254:144:255), 1556225, 38058, SN_r
(r:254:145:255), 497355, 42396, VTA
(r:254:146:255), 2446065, 96832, MRN
(r:254:147:255), 459807, 62178, PAG
(r:254:149:255), 521980, 479, APN
(r:255:100:255), 209187, 11528, BORDER5
(r:255:112:128), 210989, 966, BORDER2
(r:255:124:159), 453054, 0, MG_v
(r:255:124:160), 167237, 78, MG_m
(r:255:124:161), 209518, 27, MG_d
(r:255:125:159), 124607, 584, POL
(r:255:126:159), 178954, 921, PP
(r:255:130:160), 229074, 5838, SPF_p
(r:255:131:159), 138273, 104, LP
(r:255:158:159), 94890, 50, SGN
(r:255:255:255), 35852618, 0, BORDER6
