Metalines: 11
Project Name: SW120404-02A
Case Name: SW120404-02A
Slide Number: 2_09
Channel Number: 3
ARA Level: 075
Tracer: FG pixel count
Injection Site: PL_2/3
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 142248, 1, PTLp_6b
(l:0:159:168), 385571, 1, PTLp_6a
(l:0:159:169), 757068, 8, PTLp_5
(l:0:159:170), 165077, 0, PTLp_4
(l:0:159:171), 651834, 2, PTLp_2/3
(l:0:159:172), 367227, 0, PTLp_1
(l:1:145:148), 58727, 0, AUDd_6b
(l:1:145:149), 228405, 0, AUDd_6a
(l:1:145:150), 227951, 0, AUDd_5
(l:1:145:151), 107638, 0, AUDd_4
(l:1:145:152), 281656, 0, AUDd_2/3
(l:1:145:153), 127104, 0, AUDd_1
(l:1:146:148), 75272, 0, AUDp_6b
(l:1:146:149), 336439, 0, AUDp_6a
(l:1:146:150), 387761, 0, AUDp_5
(l:1:146:151), 172997, 0, AUDp_4
(l:1:146:152), 388587, 0, AUDp_2/3
(l:1:146:153), 195715, 0, AUDp_1
(l:1:147:148), 28289, 0, AUDv_6b
(l:1:147:149), 141110, 0, AUDv_6a
(l:1:147:150), 207348, 0, AUDv_5
(l:1:147:151), 83270, 0, AUDv_4
(l:1:147:152), 192782, 0, AUDv_2/3
(l:1:147:153), 143974, 0, AUDv_1
(l:13:159:141), 25787, 0, ECT_6b
(l:13:159:142), 75244, 0, ECT_6a
(l:13:159:143), 154860, 0, ECT_5
(l:13:159:144), 129128, 0, ECT_2/3
(l:13:159:145), 112864, 0, ECT_1
(l:14:150:128), 24020, 0, PERI_6b
(l:14:150:129), 45719, 0, PERI_6a
(l:14:150:130), 176132, 0, PERI_5
(l:14:150:131), 139373, 0, PERI_2/3
(l:14:150:132), 99201, 0, PERI_1
(l:21:176:174), 51379, 0, TEa_6b
(l:21:176:175), 219628, 0, TEa_6a
(l:21:176:176), 260685, 0, TEa_5
(l:21:176:177), 73410, 0, TEa_4
(l:21:176:178), 197068, 0, TEa_2/3
(l:21:176:179), 148361, 0, TEa_1
(l:24:114:95), 198691, 0, SSp_bfd_6b
(l:24:114:96), 651705, 0, SSp_bfd_6a
(l:24:114:97), 963689, 1, SSp_bfd_5
(l:24:114:98), 396378, 0, SSp_bfd_4
(l:24:114:99), 1083753, 0, SSp_bfd_2/3
(l:24:114:100), 456971, 0, SSp_bfd_1
(l:26:165:147), 14012, 0, RSPv_6b
(l:26:165:148), 66480, 0, RSPv_6a
(l:26:165:149), 206358, 0, RSPv_5
(l:26:165:150), 114226, 0, RSPv_2/3
(l:26:165:151), 142716, 0, RSPv_2
(l:26:165:152), 184708, 0, RSPv_1
(l:26:166:148), 31835, 0, RSPd_6b
(l:26:166:149), 170139, 1, RSPd_6a
(l:26:166:150), 299532, 0, RSPd_5
(l:26:166:151), 252142, 1, RSPd_2/3
(l:26:166:152), 126632, 0, RSPd_1
(l:50:184:28), 28647, 0, ENTl_6b
(l:50:184:29), 36057, 0, ENTl_6a
(l:50:184:31), 185844, 0, ENTl_4/5
(l:50:184:33), 171363, 0, ENTl_2/3
(l:50:184:38), 117976, 0, ENTl_1
(l:89:218:171), 284284, 0, PAA_3
(l:89:218:172), 108164, 0, PAA_2
(l:89:218:173), 188015, 0, PAA_1
(l:97:230:180), 148649, 0, COApl_3
(l:97:230:181), 159687, 0, COApI_2
(l:97:230:182), 242520, 0, COApI_1
(l:97:232:180), 465989, 0, COApm_3
(l:97:232:181), 196992, 0, COApm_2
