Metalines: 11
Project Name: SW120404-02A
Case Name: SW120404-02A
Slide Number: 3_13
Channel Number: 5
ARA Level: 127
Tracer: CTB-647 pixel count
Injection Site: ILA_2/3
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:170:170:176), 17199, 0, central_canal
(l:191:218:227), 20, 0, BORDER0
(l:204:204:107), 551095, 0, mlf/ml
(l:204:204:108), 757925, 0, sctv/sptV/rust/icp
(l:204:204:109), 23129, 0, ts
(l:204:204:114), 178460, 0, py
(l:204:204:123), 1718622, 0, arb
(l:240:240:128), 3489, 0, BORDER4
(l:255:132:210), 607467, 0, MY
(l:255:134:210), 110538, 0, DMX
(l:255:135:210), 183167, 0, CU
(l:255:136:210), 44758, 0, LRN_p
(l:255:136:211), 540777, 0, LRN_m
(l:255:138:210), 346653, 0, XII
(l:255:139:210), 274622, 0, ECU
(l:255:140:210), 1269635, 0, SPV_i
(l:255:140:211), 368799, 0, SPV_c
(l:255:155:210), 888046, 0, PARN
(l:255:157:210), 1439096, 0, IRN
(l:255:159:210), 26381, 0, RPA
(l:255:166:210), 169988, 0, NTS_m
(l:255:166:211), 139730, 0, NTS_l
(l:255:166:213), 12654, 0, NTS_ce
(l:255:166:214), 112684, 0, NTS_co
(l:255:167:212), 64131, 0, AMB
(l:255:168:210), 290836, 0, IO
(l:255:169:210), 60896, 0, RO
(l:255:171:210), 1525625, 0, MDRN_v
(l:255:172:210), 53156, 0, PAS
(l:255:173:210), 62858, 0, AP
(l:255:237:145), 316207, 0, PYR_mo
(l:255:237:146), 216296, 0, PYR_gr
(l:255:238:145), 1226568, 0, DEC_mo
(l:255:238:146), 2206562, 0, DEC_gr
(l:255:239:145), 878278, 0, UVU_mo
(l:255:239:146), 1353024, 0, UVU_gr
(l:255:240:145), 924109, 0, COPY_mo
(l:255:240:146), 694072, 0, COPY_gr
(l:255:241:145), 1621752, 0, PRM_mo
(l:255:241:146), 1495401, 0, PRM_gr
(l:255:244:145), 1536884, 0, ANCr2_mo
(l:255:244:146), 1600846, 0, ANcr2_gr
(l:255:245:145), 935343, 0, ANcr1_mo
(l:255:245:146), 640105, 0, ANcr1_gr
(l:255:255:255), 53516389, 0, BORDER6
(r:170:170:176), 17199, 0, central_canal
(r:191:218:227), 20, 0, BORDER0
(r:204:204:107), 551095, 0, mlf/ml
(r:204:204:108), 757925, 0, sctv/sptV/rust/icp
(r:204:204:109), 23129, 0, ts
(r:204:204:114), 178460, 0, py
(r:204:204:123), 1718622, 0, arb
(r:240:240:128), 3489, 0, BORDER4
(r:255:132:210), 607467, 0, MY
(r:255:134:210), 110538, 0, DMX
(r:255:135:210), 183167, 0, CU
(r:255:136:210), 44758, 0, LRN_p
(r:255:136:211), 540777, 0, LRN_m
(r:255:138:210), 346653, 0, XII
(r:255:139:210), 274622, 0, ECU
(r:255:140:210), 1269635, 0, SPV_i
(r:255:140:211), 368799, 0, SPV_c
(r:255:155:210), 888046, 0, PARN
(r:255:157:210), 1439096, 0, IRN
(r:255:159:210), 26381, 0, RPA
(r:255:166:210), 169988, 0, NTS_m
(r:255:166:211), 139730, 0, NTS_l
(r:255:166:213), 12654, 0, NTS_ce
(r:255:166:214), 112684, 0, NTS_co
(r:255:167:212), 64131, 0, AMB
(r:255:168:210), 290836, 0, IO
(r:255:169:210), 60896, 0, RO
(r:255:171:210), 1525625, 0, MDRN_v
(r:255:172:210), 53156, 0, PAS
(r:255:173:210), 62858, 0, AP
(r:255:237:145), 316207, 0, PYR_mo
(r:255:237:146), 216296, 0, PYR_gr
(r:255:238:145), 1226568, 0, DEC_mo
(r:255:238:146), 2206562, 0, DEC_gr
(r:255:239:145), 878278, 0, UVU_mo
(r:255:239:146), 1353024, 0, UVU_gr
(r:255:240:145), 924109, 0, COPY_mo
(r:255:240:146), 694072, 0, COPY_gr
(r:255:241:145), 1621752, 0, PRM_mo
(r:255:241:146), 1495401, 0, PRM_gr
(r:255:244:145), 1536884, 0, ANCr2_mo
(r:255:244:146), 1600846, 0, ANcr2_gr
(r:255:245:145), 935343, 0, ANcr1_mo
(r:255:245:146), 640105, 0, ANcr1_gr
(r:255:255:255), 53516389, 0, BORDER6
