Metalines: 11
Project Name: SW120530-03A
Case Name: SW120530-03A
Slide Number: 3_13
Channel Number: 2
ARA Level: 106
Tracer: PHAL
Injection Site: PL_2/3
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:170:170:170), 200895, 362, rc/sez
(l:191:218:227), 74909, 101, BORDER0
(l:204:204:124), 1986346, 884, py/tb/ml/sctv/sptV/vn/grf
(l:204:204:125), 167812, 0, sctv
(l:204:204:133), 166208, 0, scp
(l:204:204:135), 231602, 30, moV
(l:204:204:154), 64352, 0, tsp
(l:204:204:165), 612326, 0, mcp
(l:204:204:168), 64539, 112, mlf
(l:240:240:128), 1848, 0, BORDER4
(l:254:122:255), 100885, 583, MEV
(l:254:124:255), 394847, 269, CUN
(l:254:127:253), 1210875, 178, IC_e
(l:254:127:254), 672704, 231, IC_d
(l:254:127:255), 2615826, 112, IC_c
(l:254:147:255), 1123245, 298, PAG
(l:255:100:255), 150027, 131, BORDER5
(l:255:155:205), 2841, 0, border8
(l:255:159:210), 33854, 57, RPA
(l:255:163:210), 637588, 1043, VCO
(l:255:164:210), 91520, 22, RM
(l:255:166:134), 981668, 704, PONS
(l:255:167:134), 189655, 257, NI
(l:255:171:134), 1010592, 973, PCG
(l:255:172:134), 139177, 156, SLD
(l:255:173:134), 168235, 0, DTN
(l:255:174:134), 200888, 0, LDT
(l:255:175:134), 171244, 0, PBm_m
(l:255:176:134), 168748, 0, PBl_lv
(l:255:176:135), 128104, 231, PBl_le
(l:255:176:136), 167187, 116, PBl_ld
(l:255:176:137), 112854, 6161, PBl_lc
(l:255:176:138), 147505, 1142, PBl_ls
(l:255:177:134), 388752, 6, SUT
(l:255:178:134), 167368, 4, SLC
(l:255:179:134), 155994, 29, RPO
(l:255:180:134), 194708, 0, SOC_l
(l:255:180:135), 81198, 1, SOC_m
(l:255:181:134), 679466, 66, V
(l:255:182:134), 138465, 148, KF
(l:255:183:134), 1174028, 88, PSV
(l:255:184:134), 464177, 1138, POR
(l:255:188:135), 3700014, 652, PRNc
(l:255:247:145), 726933, 0, CUL4/5_mo
(l:255:247:146), 537079, 0, CUL4/5_gr
(l:255:248:145), 896958, 0, SIM_mo
(l:255:248:146), 550921, 0, SIM_gr
(l:255:249:145), 665008, 0, CENT2_mo
(l:255:249:146), 352874, 0, CENT2_gr
(l:255:250:145), 759973, 0, FL_mo
(l:255:250:146), 741657, 0, FL_gr
(l:255:251:145), 1168493, 0, PFL_mo
(l:255:251:146), 1623898, 0, PFL_gr
(l:255:255:255), 51629117, 0, BORDER6
(r:170:170:170), 201257, 0, rc/sez
(r:191:218:227), 74982, 28, BORDER0
(r:204:204:124), 1986074, 1156, py/tb/ml/sctv/sptV/vn/grf
(r:204:204:125), 167780, 32, sctv
(r:204:204:133), 166208, 0, scp
(r:204:204:135), 231619, 13, moV
(r:204:204:154), 64352, 0, tsp
(r:204:204:165), 612326, 0, mcp
(r:204:204:168), 64651, 0, mlf
(r:240:240:128), 1848, 0, BORDER4
(r:254:122:255), 99632, 1836, MEV
(r:254:124:255), 395027, 89, CUN
(r:254:127:253), 1210844, 209, IC_e
(r:254:127:254), 672764, 171, IC_d
(r:254:127:255), 2615693, 245, IC_c
(r:254:147:255), 1122451, 1092, PAG
(r:255:100:255), 150125, 33, BORDER5
(r:255:155:205), 2841, 0, border8
(r:255:159:210), 33903, 8, RPA
(r:255:163:210), 638631, 0, VCO
(r:255:164:210), 91084, 458, RM
(r:255:166:134), 981169, 1203, PONS
(r:255:167:134), 189646, 266, NI
(r:255:171:134), 1007459, 4106, PCG
(r:255:172:134), 138482, 851, SLD
(r:255:173:134), 168235, 0, DTN
(r:255:174:134), 200501, 387, LDT
(r:255:175:134), 171023, 221, PBm_m
(r:255:176:134), 168745, 3, PBl_lv
(r:255:176:135), 128329, 6, PBl_le
(r:255:176:136), 166585, 718, PBl_ld
(r:255:176:137), 117281, 1734, PBl_lc
(r:255:176:138), 147219, 1428, PBl_ls
(r:255:177:134), 388740, 18, SUT
(r:255:178:134), 167360, 12, SLC
(r:255:179:134), 155949, 74, RPO
(r:255:180:134), 194678, 30, SOC_l
(r:255:180:135), 81199, 0, SOC_m
(r:255:181:134), 679480, 52, V
(r:255:182:134), 138613, 0, KF
(r:255:183:134), 1174104, 12, PSV
(r:255:184:134), 465283, 32, POR
(r:255:188:135), 3699130, 1536, PRNc
(r:255:247:145), 726933, 0, CUL4/5_mo
(r:255:247:146), 537079, 0, CUL4/5_gr
(r:255:248:145), 896958, 0, SIM_mo
(r:255:248:146), 550921, 0, SIM_gr
(r:255:249:145), 665008, 0, CENT2_mo
(r:255:249:146), 352874, 0, CENT2_gr
(r:255:250:145), 759973, 0, FL_mo
(r:255:250:146), 741657, 0, FL_gr
(r:255:251:145), 1168493, 0, PFL_mo
(r:255:251:146), 1623898, 0, PFL_gr
(r:255:255:255), 51629117, 0, BORDER6
