Metalines: 11
Project Name: SW160120-03A
Case Name: SW160120-03A
Slide Number: 1_16
Channel Number: 4
ARA Level: 042
Tracer: BDA
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:156:112), 23476, 0, GU_6b
(l:0:156:113), 243131, 13, GU_6a
(l:0:156:114), 334738, 40, GU_5
(l:0:156:115), 92350, 0, GU_4
(l:0:156:116), 266819, 18, GU_2/3
(l:0:156:117), 188410, 0, GU_1
(l:24:116:95), 171255, 2, SSp_m_6b
(l:24:116:96), 1007079, 113, SSp_m_6a
(l:24:116:97), 1428051, 204, SSp_m_5
(l:24:116:98), 536442, 101, SSp_m_4
(l:24:116:99), 1303608, 109, SSp_m_2/3
(l:24:116:100), 666994, 189, SSp_m_1
(l:31:156:85), 58495, 0, MOs_6b
(l:31:156:86), 579264, 13, MOs_6a
(l:31:156:88), 599674, 88, MOs_5
(l:31:156:89), 333123, 51, MOs_2/3
(l:31:156:90), 183698, 188, MOs_1
(l:31:157:85), 77573, 0, MOp_6b
(l:31:157:86), 594635, 2, MOp_6a
(l:31:157:88), 747186, 92, MOp_5
(l:31:157:89), 628119, 70, MOp_2/3
(l:31:157:90), 234878, 224, MOp_1
(l:33:151:100), 109287, 4, AIv_5
(l:33:151:101), 211713, 8, AIv_2/3
(l:33:151:102), 90945, 36, AIv_1
(l:33:152:98), 22918, 15, AId_6a
(l:33:152:100), 203853, 28, AId_5
(l:33:152:101), 221898, 20, AId_2/3
(l:33:152:102), 146748, 3, AId_1
(l:64:165:98), 44373, 0, ACAv_6b
(l:64:165:99), 217345, 10, ACAv_6a
(l:64:165:100), 189902, 24, ACAv_5
(l:64:165:101), 141131, 7, ACAv_2/3
(l:64:165:102), 193320, 7, ACAv_1
(l:64:166:97), 20990, 4, ACAd_6b
(l:64:166:98), 218416, 5, ACAd_6a
(l:64:166:100), 199473, 29, ACAd_5
(l:64:166:101), 170710, 6, ACAd_2/3
(l:64:166:102), 174644, 144, ACAd_1
(l:89:179:93), 64483, 10, ILA_6b
(l:89:179:94), 90435, 103, ILA_6a
(l:89:179:95), 124797, 97, ILA_5
(l:89:179:97), 112533, 77, ILA_2/3
(l:89:179:99), 137610, 189, ILA_1
(l:98:208:156), 87324, 136, TTd_4
(l:98:208:157), 204411, 6747, TTd_3
(l:98:208:158), 155374, 4519, TTd_2
(l:98:208:159), 155452, 801, TTd_1
(l:106:203:184), 556360, 49, PIR_3
(l:106:203:185), 553690, 106, PIR_2
(l:106:203:186), 559042, 122, PIR_1
(l:128:204:249), 95418, 46, isl
(l:128:204:250), 44589, 0, islm
(l:128:205:246), 530788, 92, OT_3
(l:128:205:247), 555870, 148, OT_2
(l:128:205:248), 948889, 93, OT_1
(l:128:225:248), 3985065, 479, ACB
(l:138:218:135), 449727, 33, CLA
(l:144:203:236), 46398, 4120, SH
(l:144:203:237), 514501, 153, SI
(l:144:204:237), 884977, 12387, LS_r
(l:150:167:211), 498483, 329, NDB
(l:152:214:249), 4163006, 235, CP
(l:154:210:189), 6, 0, border9
(l:160:238:157), 417138, 48, EP_d
(l:170:170:169), 172971, 33, VL
(l:176:255:184), 75362, 13, BORDER1
(l:191:218:227), 503039, 2103, BORDER0
(l:204:204:206), 122797, 9, lot
(l:204:204:207), 120703, 0, aco
(l:204:204:209), 1251932, 85, fa
(l:255:255:255), 49909209, 0, BORDER6
(r:0:156:112), 23465, 11, GU_6b
(r:0:156:113), 242765, 379, GU_6a
(r:0:156:114), 334593, 185, GU_5
(r:0:156:115), 92291, 59, GU_4
(r:0:156:116), 266810, 27, GU_2/3
(r:0:156:117), 188135, 275, GU_1
(r:24:116:95), 171245, 12, SSp_m_6b
(r:24:116:96), 1007119, 73, SSp_m_6a
(r:24:116:97), 1427912, 343, SSp_m_5
(r:24:116:98), 536427, 116, SSp_m_4
(r:24:116:99), 1303578, 139, SSp_m_2/3
(r:24:116:100), 666926, 257, SSp_m_1
(r:31:156:85), 58495, 0, MOs_6b
(r:31:156:86), 576237, 3040, MOs_6a
(r:31:156:88), 594457, 5305, MOs_5
(r:31:156:89), 330498, 2676, MOs_2/3
(r:31:156:90), 178451, 5435, MOs_1
(r:31:157:85), 77428, 145, MOp_6b
(r:31:157:86), 594604, 33, MOp_6a
(r:31:157:88), 746885, 393, MOp_5
(r:31:157:89), 627845, 344, MOp_2/3
(r:31:157:90), 234355, 747, MOp_1
(r:33:151:100), 108573, 718, AIv_5
(r:33:151:101), 209542, 2179, AIv_2/3
(r:33:151:102), 90674, 307, AIv_1
(r:33:152:98), 22926, 7, AId_6a
(r:33:152:100), 202897, 984, AId_5
(r:33:152:101), 220732, 1186, AId_2/3
(r:33:152:102), 146687, 64, AId_1
(r:64:165:98), 44177, 196, ACAv_6b
(r:64:165:99), 210647, 6708, ACAv_6a
(r:64:165:100), 186299, 3627, ACAv_5
(r:64:165:101), 140848, 290, ACAv_2/3
(r:64:165:102), 191329, 1998, ACAv_1
(r:64:166:97), 20992, 2, ACAd_6b
(r:64:166:98), 217215, 1206, ACAd_6a
(r:64:166:100), 185531, 13971, ACAd_5
(r:64:166:101), 169378, 1338, ACAd_2/3
(r:64:166:102), 172333, 2455, ACAd_1
(r:89:179:93), 63880, 613, ILA_6b
(r:89:179:94), 81202, 9336, ILA_6a
(r:89:179:95), 103493, 21401, ILA_5
(r:89:179:97), 107767, 4843, ILA_2/3
(r:89:179:99), 132660, 5139, ILA_1
(r:98:208:156), 84750, 2710, TTd_4
(r:98:208:157), 109526, 101632, TTd_3
(r:98:208:158), 87618, 72275, TTd_2
(r:98:208:159), 127144, 29109, TTd_1
(r:106:203:184), 545760, 10649, PIR_3
(r:106:203:185), 538085, 15711, PIR_2
(r:106:203:186), 558366, 798, PIR_1
(r:128:204:249), 92265, 3199, isl
(r:128:204:250), 44555, 34, islm
(r:128:205:246), 504577, 26303, OT_3
(r:128:205:247), 534916, 21102, OT_2
(r:128:205:248), 940414, 8568, OT_1
(r:128:225:248), 3864528, 121016, ACB
(r:138:218:135), 448939, 821, CLA
(r:144:203:236), 27900, 22618, SH
(r:144:203:237), 493942, 20712, SI
(r:144:204:237), 833305, 64059, LS_r
(r:150:167:211), 495936, 2876, NDB
(r:152:214:249), 4156933, 6308, CP
(r:154:210:189), 5, 1, border9
(r:160:238:157), 413340, 3846, EP_d
(r:170:170:169), 172975, 29, VL
(r:176:255:184), 74774, 601, BORDER1
(r:191:218:227), 483964, 21178, BORDER0
(r:204:204:206), 122206, 600, lot
(r:204:204:207), 120703, 0, aco
(r:204:204:209), 1251191, 826, fa
(r:255:255:255), 49909209, 0, BORDER6
