Metalines: 11
Project Name: SW170420-03A
Case Name: SW170420-03A
Slide Number: 1_19
Channel Number: 2
ARA Level: 046
Tracer: PHAL
Injection Site: DP_2/3
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:156:112), 95293, 0, GU_6b
(l:0:156:113), 157896, 0, GU_6a
(l:0:156:114), 170589, 0, GU_5
(l:0:156:115), 87829, 0, GU_4
(l:0:156:116), 240068, 0, GU_2/3
(l:0:156:117), 103570, 0, GU_1
(l:24:115:95), 55735, 1, SSp_n_6b
(l:24:115:96), 308674, 0, SSp_n_6a
(l:24:115:97), 377995, 0, SSp_n_5
(l:24:115:98), 171955, 0, SSp_n_4
(l:24:115:99), 470361, 0, SSp_n_2/3
(l:24:115:100), 169384, 0, SSp_n_1
(l:24:116:95), 71530, 0, SSp_m_6b
(l:24:116:96), 376712, 2, SSp_m_6a
(l:24:116:97), 489952, 1, SSp_m_5
(l:24:116:98), 197661, 5, SSp_m_4
(l:24:116:99), 571103, 0, SSp_m_2/3
(l:24:116:100), 208465, 0, SSp_m_1
(l:24:117:95), 91331, 0, SSp_ul_6b
(l:24:117:96), 407896, 0, SSp_ul_6a
(l:24:117:97), 598544, 0, SSp_ul_5
(l:24:117:98), 145962, 0, SSp_ul_4
(l:24:117:99), 545790, 11, SSp_ul_2/3
(l:24:117:100), 263846, 2, SSp_ul_1
(l:24:127:95), 60169, 6, SSs_6b
(l:24:127:96), 198406, 0, SSs_6a
(l:24:127:97), 182171, 0, SSs_5
(l:24:127:98), 122443, 0, SSs_4
(l:24:127:99), 224537, 0, SSs_2/3
(l:24:127:100), 100609, 0, SSs_1
(l:31:156:85), 45861, 0, MOs_6b
(l:31:156:86), 407039, 0, MOs_6a
(l:31:156:88), 739520, 0, MOs_5
(l:31:156:89), 512286, 4, MOs_2/3
(l:31:156:90), 317525, 131, MOs_1
(l:31:157:85), 80281, 0, MOp_6b
(l:31:157:86), 400315, 0, MOp_6a
(l:31:157:88), 638721, 0, MOp_5
(l:31:157:89), 624862, 0, MOp_2/3
(l:31:157:90), 264485, 0, MOp_1
(l:33:151:99), 8844, 0, AIv_6a
(l:33:151:100), 107342, 0, AIv_5
(l:33:151:101), 172383, 0, AIv_2/3
(l:33:151:102), 116109, 0, AIv_1
(l:33:152:97), 49460, 0, Ald_6b
(l:33:152:98), 123651, 0, AId_6a
(l:33:152:100), 115290, 0, AId_5
(l:33:152:101), 266224, 0, AId_2/3
(l:33:152:102), 101639, 0, AId_1
(l:64:165:98), 36909, 0, ACAv_6b
(l:64:165:99), 152686, 0, ACAv_6a
(l:64:165:100), 288380, 20, ACAv_5
(l:64:165:101), 239087, 33, ACAv_2/3
(l:64:165:102), 271454, 203, ACAv_1
(l:64:166:97), 18614, 0, ACAd_6b
(l:64:166:98), 90776, 0, ACAd_6a
(l:64:166:100), 134327, 0, ACAd_5
(l:64:166:101), 126358, 2, ACAd_2/3
(l:64:166:102), 104050, 20, ACAd_1
(l:106:203:184), 493228, 6, PIR_3
(l:106:203:185), 395372, 0, PIR_2
(l:106:203:186), 501517, 0, PIR_1
(l:126:208:75), 13527, 22, IG
(l:128:204:249), 27549, 0, isl
(l:128:204:250), 82419, 5, islm
(l:128:205:246), 370725, 0, OT_3
(l:128:205:247), 500553, 0, OT_2
(l:128:205:248), 443824, 62, OT_1
(l:128:225:248), 3270563, 5253, ACB
(l:138:218:135), 162655, 0, CLA
(l:144:203:236), 76461, 0, SH
(l:144:203:237), 1215093, 2164, SI
(l:144:204:237), 1106580, 2821, LS_r
(l:144:204:238), 277848, 44, LS_c
(l:150:167:211), 763886, 1906, NDB
(l:150:168:211), 355269, 1435, MS
(l:152:214:249), 6515031, 430, CP
(l:154:210:189), 374, 0, border9
(l:160:238:157), 299963, 0, EP_d
(l:170:170:169), 255756, 121, VL
(l:176:255:184), 60989, 0, BORDER1
(l:191:218:227), 486702, 528, BORDER0
(l:204:204:206), 80915, 0, lot
(l:204:204:207), 175968, 15, aco
(l:204:204:211), 1445879, 7, ccg/cing
(l:242:100:59), 173774, 997, LPO
(l:255:255:255), 47614641, 0, BORDER6
(r:0:156:112), 95229, 64, GU_6b
(r:0:156:113), 157876, 20, GU_6a
(r:0:156:114), 170582, 7, GU_5
(r:0:156:115), 87826, 3, GU_4
(r:0:156:116), 240048, 20, GU_2/3
(r:0:156:117), 103360, 210, GU_1
(r:24:115:95), 55736, 0, SSp_n_6b
(r:24:115:96), 308672, 2, SSp_n_6a
(r:24:115:97), 377989, 6, SSp_n_5
(r:24:115:98), 171953, 2, SSp_n_4
(r:24:115:99), 470359, 2, SSp_n_2/3
(r:24:115:100), 169384, 0, SSp_n_1
(r:24:116:95), 71530, 0, SSp_m_6b
(r:24:116:96), 376714, 0, SSp_m_6a
(r:24:116:97), 489953, 0, SSp_m_5
(r:24:116:98), 197666, 0, SSp_m_4
(r:24:116:99), 571103, 0, SSp_m_2/3
(r:24:116:100), 208465, 0, SSp_m_1
(r:24:117:95), 91268, 63, SSp_ul_6b
(r:24:117:96), 407892, 4, SSp_ul_6a
(r:24:117:97), 598532, 12, SSp_ul_5
(r:24:117:98), 145962, 0, SSp_ul_4
(r:24:117:99), 545801, 0, SSp_ul_2/3
(r:24:117:100), 263845, 3, SSp_ul_1
(r:24:127:95), 60175, 0, SSs_6b
(r:24:127:96), 198388, 18, SSs_6a
(r:24:127:97), 182170, 1, SSs_5
(r:24:127:98), 122442, 1, SSs_4
(r:24:127:99), 224529, 8, SSs_2/3
(r:24:127:100), 100609, 0, SSs_1
(r:31:156:85), 45859, 2, MOs_6b
(r:31:156:86), 406851, 188, MOs_6a
(r:31:156:88), 739009, 511, MOs_5
(r:31:156:89), 512128, 162, MOs_2/3
(r:31:156:90), 316552, 1104, MOs_1
(r:31:157:85), 80281, 0, MOp_6b
(r:31:157:86), 400286, 29, MOp_6a
(r:31:157:88), 638703, 18, MOp_5
(r:31:157:89), 624845, 17, MOp_2/3
(r:31:157:90), 264383, 102, MOp_1
(r:33:151:99), 8840, 4, AIv_6a
(r:33:151:100), 106956, 386, AIv_5
(r:33:151:101), 172029, 354, AIv_2/3
(r:33:151:102), 115591, 518, AIv_1
(r:33:152:97), 49402, 58, Ald_6b
(r:33:152:98), 123625, 26, AId_6a
(r:33:152:100), 115122, 168, AId_5
(r:33:152:101), 266146, 78, AId_2/3
(r:33:152:102), 101284, 355, AId_1
(r:64:165:98), 36833, 76, ACAv_6b
(r:64:165:99), 151782, 904, ACAv_6a
(r:64:165:100), 283590, 4810, ACAv_5
(r:64:165:101), 232868, 6252, ACAv_2/3
(r:64:165:102), 260227, 11430, ACAv_1
(r:64:166:97), 18573, 41, ACAd_6b
(r:64:166:98), 90452, 324, ACAd_6a
(r:64:166:100), 133872, 455, ACAd_5
(r:64:166:101), 126123, 237, ACAd_2/3
(r:64:166:102), 101076, 2994, ACAd_1
(r:106:203:184), 492072, 1162, PIR_3
(r:106:203:185), 394765, 607, PIR_2
(r:106:203:186), 500952, 565, PIR_1
(r:126:208:75), 13519, 30, IG
(r:128:204:249), 27507, 42, isl
(r:128:204:250), 82373, 51, islm
(r:128:205:246), 368046, 2679, OT_3
(r:128:205:247), 498397, 2156, OT_2
(r:128:205:248), 443500, 386, OT_1
(r:128:225:248), 3241168, 34648, ACB
(r:138:218:135), 162318, 337, CLA
(r:144:203:236), 76461, 0, SH
(r:144:203:237), 1188231, 29026, SI
(r:144:204:237), 1092144, 17257, LS_r
(r:144:204:238), 277534, 358, LS_c
(r:150:167:211), 753986, 11806, NDB
(r:150:168:211), 349180, 7524, MS
(r:152:214:249), 6512239, 3222, CP
(r:154:210:189), 374, 0, border9
(r:160:238:157), 298921, 1042, EP_d
(r:170:170:169), 255583, 294, VL
(r:176:255:184), 60598, 391, BORDER1
(r:191:218:227), 480661, 6569, BORDER0
(r:204:204:206), 80856, 59, lot
(r:204:204:207), 175724, 259, aco
(r:204:204:211), 1445778, 108, ccg/cing
(r:242:100:59), 169497, 5274, LPO
(r:255:255:255), 47614641, 0, BORDER6
