Metalines: 11
Project Name: SW170420-03A
Case Name: SW170420-03A
Slide Number: 3_06
Channel Number: 4
ARA Level: 092
Tracer: AAV-RFP
Injection Site: PL_2/3
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 20018, 0, PTLp_6b
(l:0:159:168), 95250, 0, PTLp_6a
(l:0:159:169), 177433, 19, PTLp_5
(l:0:159:170), 50698, 0, PTLp_4
(l:0:159:171), 157299, 0, PTLp_2/3
(l:0:159:172), 70399, 0, PTLp_1
(l:8:129:135), 53155, 0, VISl_6b
(l:8:129:136), 259670, 0, VISl_6a
(l:8:129:137), 444391, 0, VISl_5
(l:8:129:138), 164307, 4, VISl_4
(l:8:129:139), 450551, 3, VISl_2/3
(l:8:129:140), 221476, 0, VISl_1
(l:8:130:135), 22727, 0, VISpm_6b
(l:8:130:136), 99918, 0, VISpm_6a
(l:8:130:137), 134864, 7, VISpm_5
(l:8:130:138), 71267, 0, VISpm_4
(l:8:130:139), 144438, 0, VISpm_2/3
(l:8:130:140), 98346, 0, VISpm_1
(l:8:132:135), 115452, 0, VISp_6b
(l:8:132:136), 525037, 29, VISp_6a
(l:8:132:137), 983884, 32, VISp_5
(l:8:132:138), 352117, 9, VISp_4
(l:8:132:139), 861260, 2, VISp_2/3
(l:8:132:140), 368202, 15, VISp_1
(l:13:159:141), 38672, 0, ECT_6b
(l:13:159:142), 114154, 6, ECT_6a
(l:13:159:143), 165016, 3, ECT_5
(l:13:159:144), 266206, 21, ECT_2/3
(l:13:159:145), 129559, 0, ECT_1
(l:14:150:128), 10145, 0, PERI_6b
(l:14:150:129), 29035, 3, PERI_6a
(l:14:150:130), 88965, 7, PERI_5
(l:14:150:131), 77319, 0, PERI_2/3
(l:14:150:132), 69735, 0, PERI_1
(l:21:176:174), 74823, 0, TEa_6b
(l:21:176:175), 223606, 0, TEa_6a
(l:21:176:176), 555039, 18, TEa_5
(l:21:176:177), 132099, 11, TEa_4
(l:21:176:178), 509833, 7, TEa_2/3
(l:21:176:179), 233607, 76, TEa_1
(l:26:165:147), 6031, 0, RSPv_6b
(l:26:165:148), 83143, 0, RSPv_6a
(l:26:165:149), 368042, 33, RSPv_5
(l:26:165:150), 206823, 14, RSPv_2/3
(l:26:165:151), 86690, 0, RSPv_2
(l:26:165:152), 265882, 0, RSPv_1
(l:26:166:148), 40486, 0, RSPd_6b
(l:26:166:149), 426780, 1, RSPd_6a
(l:26:166:150), 344559, 18, RSPd_5
(l:26:166:151), 344615, 20, RSPd_2/3
(l:26:166:152), 189182, 0, RSPd_1
(l:50:182:32), 105213, 1, ENTm_6
(l:50:182:33), 163545, 0, ENTm_5
(l:50:182:34), 24714, 2, ENTm_4
(l:50:182:35), 126735, 0, ENTm_3
(l:50:182:36), 116281, 0, ENTm_2b
(l:50:182:37), 153910, 0, ENTm_2a
(l:50:182:39), 398128, 0, ENTm_1
(l:50:184:29), 355555, 0, ENTl_6a
(l:50:184:30), 485179, 47, ENTl_5
(l:50:184:32), 160887, 87, ENTl_4
(l:50:184:34), 380898, 71, ENTl_3
(l:50:184:35), 316882, 40, ENTl_2b
(l:50:184:36), 296774, 6, ENTl_2a
(l:50:184:38), 569229, 7, ENTl_1
(l:72:200:60), 153178, 19, POST_3
(l:72:200:61), 65766, 4, POST_2
(l:72:200:62), 64451, 0, POST_1
(l:75:182:71), 1474937, 42, SUBv_m
(l:75:182:72), 884601, 0, SUBv_sr
(l:75:182:73), 3280937, 81, SUBv_sp
(l:89:185:71), 212820, 7, PRE_3
(l:89:185:72), 160117, 0, PRE_2
(l:89:185:73), 246125, 0, PRE_1
(l:126:209:75), 2845207, 18, DG_mo
(l:170:170:173), 8201, 87, AQ
(l:176:255:184), 25363, 0, BORDER1
(l:191:218:227), 59398, 0, BORDER0
(l:204:204:153), 235348, 1961, scp/dtd/mlf
(l:204:204:154), 81367, 323, tsp
(l:204:204:155), 2550594, 1453, mcp/cst/ml/cpd/rust/bic
(l:204:204:165), 137382, 2030, mcp
(l:204:204:175), 1615958, 62, fp/dhc/alv/ec
(l:204:204:187), 158569, 0, bsc
(l:204:204:193), 52301, 0, ml
(l:254:132:253), 363217, 0, SCs_zo
(l:254:132:254), 597089, 5, SCs_sg
(l:254:132:255), 225337, 1, SCs_op
(l:254:133:249), 56349, 0, SCm_dw
(l:254:133:250), 1258172, 620, SCm_ig
(l:254:133:254), 639427, 317, SCm_iw
(l:254:133:255), 1220003, 1092, SCm_dg
(l:254:137:255), 432586, 101, NB
(l:254:138:255), 195816, 2315, CLI
(l:254:139:255), 80957, 0, III
(l:254:140:255), 31446, 402, EW
(l:254:141:255), 20142, 173, RL
(l:254:142:255), 105188, 1106, RN
(l:254:143:255), 1111891, 2954, RR
(l:254:144:255), 278240, 98, SN_r
(l:254:146:255), 2509700, 9871, MRN
(l:254:147:255), 1537368, 26441, PAG
(l:255:100:255), 241272, 1634, BORDER5
(l:255:124:159), 154394, 0, MG_v
(l:255:155:136), 37492, 307, border7
(l:255:186:134), 1279475, 1889, PG
(l:255:187:134), 486330, 2240, TRN
(l:255:188:134), 1232875, 10336, PRNr
(l:255:189:134), 209767, 2229, CS_m
(l:255:189:135), 161368, 2232, CS_l
(l:255:255:255), 37476547, 0, BORDER6
(r:0:159:167), 20018, 0, PTLp_6b
(r:0:159:168), 95124, 126, PTLp_6a
(r:0:159:169), 177410, 42, PTLp_5
(r:0:159:170), 50678, 20, PTLp_4
(r:0:159:171), 157298, 1, PTLp_2/3
(r:0:159:172), 70388, 11, PTLp_1
(r:8:129:135), 53155, 0, VISl_6b
(r:8:129:136), 259576, 94, VISl_6a
(r:8:129:137), 444338, 53, VISl_5
(r:8:129:138), 164256, 55, VISl_4
(r:8:129:139), 450487, 67, VISl_2/3
(r:8:129:140), 221281, 195, VISl_1
(r:8:130:135), 22720, 7, VISpm_6b
(r:8:130:136), 99843, 75, VISpm_6a
(r:8:130:137), 134854, 17, VISpm_5
(r:8:130:138), 71267, 0, VISpm_4
(r:8:130:139), 144431, 7, VISpm_2/3
(r:8:130:140), 98346, 0, VISpm_1
(r:8:132:135), 115429, 23, VISp_6b
(r:8:132:136), 524671, 395, VISp_6a
(r:8:132:137), 983774, 142, VISp_5
(r:8:132:138), 352122, 4, VISp_4
(r:8:132:139), 861199, 63, VISp_2/3
(r:8:132:140), 368002, 215, VISp_1
(r:13:159:141), 38658, 14, ECT_6b
(r:13:159:142), 114154, 6, ECT_6a
(r:13:159:143), 165016, 3, ECT_5
(r:13:159:144), 266218, 9, ECT_2/3
(r:13:159:145), 129559, 0, ECT_1
(r:14:150:128), 10127, 18, PERI_6b
(r:14:150:129), 29010, 28, PERI_6a
(r:14:150:130), 88924, 48, PERI_5
(r:14:150:131), 77317, 2, PERI_2/3
(r:14:150:132), 69735, 0, PERI_1
(r:21:176:174), 74745, 78, TEa_6b
(r:21:176:175), 223546, 60, TEa_6a
(r:21:176:176), 555040, 17, TEa_5
(r:21:176:177), 132106, 4, TEa_4
(r:21:176:178), 509838, 2, TEa_2/3
(r:21:176:179), 233654, 29, TEa_1
(r:26:165:147), 6031, 0, RSPv_6b
(r:26:165:148), 83143, 0, RSPv_6a
(r:26:165:149), 368062, 13, RSPv_5
(r:26:165:150), 206819, 18, RSPv_2/3
(r:26:165:151), 86673, 17, RSPv_2
(r:26:165:152), 265880, 2, RSPv_1
(r:26:166:148), 40452, 34, RSPd_6b
(r:26:166:149), 426710, 71, RSPd_6a
(r:26:166:150), 344550, 27, RSPd_5
(r:26:166:151), 344596, 39, RSPd_2/3
(r:26:166:152), 189162, 20, RSPd_1
(r:50:182:32), 105214, 0, ENTm_6
(r:50:182:33), 163545, 0, ENTm_5
(r:50:182:34), 24716, 0, ENTm_4
(r:50:182:35), 126735, 0, ENTm_3
(r:50:182:36), 116281, 0, ENTm_2b
(r:50:182:37), 153904, 6, ENTm_2a
(r:50:182:39), 398128, 0, ENTm_1
(r:50:184:29), 355546, 9, ENTl_6a
(r:50:184:30), 485191, 35, ENTl_5
(r:50:184:32), 160955, 19, ENTl_4
(r:50:184:34), 380967, 2, ENTl_3
(r:50:184:35), 316912, 10, ENTl_2b
(r:50:184:36), 296774, 6, ENTl_2a
(r:50:184:38), 569236, 0, ENTl_1
(r:72:200:60), 153159, 38, POST_3
(r:72:200:61), 65603, 167, POST_2
(r:72:200:62), 64315, 136, POST_1
(r:75:182:71), 1474965, 14, SUBv_m
(r:75:182:72), 884565, 36, SUBv_sr
(r:75:182:73), 3281009, 9, SUBv_sp
(r:89:185:71), 212822, 5, PRE_3
(r:89:185:72), 160065, 52, PRE_2
(r:89:185:73), 246087, 38, PRE_1
(r:126:209:75), 2845137, 88, DG_mo
(r:170:170:173), 8081, 207, AQ
(r:176:255:184), 25363, 0, BORDER1
(r:191:218:227), 59398, 0, BORDER0
(r:204:204:153), 230585, 6724, scp/dtd/mlf
(r:204:204:154), 78192, 3498, tsp
(r:204:204:155), 2512860, 39187, mcp/cst/ml/cpd/rust/bic
(r:204:204:165), 135864, 3548, mcp
(r:204:204:175), 1615884, 136, fp/dhc/alv/ec
(r:204:204:187), 158561, 8, bsc
(r:204:204:193), 39797, 12504, ml
(r:254:132:253), 363217, 0, SCs_zo
(r:254:132:254), 597094, 0, SCs_sg
(r:254:132:255), 225338, 0, SCs_op
(r:254:133:249), 56204, 145, SCm_dw
