Metalines: 11
Project Name: SW170420-04A_olivaw
Case Name: SW170420-04A
Slide Number: 3_10
Channel Number: 4
ARA Level: 099
Tracer: AAV-RFP
Injection Site: PL_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:0:0), 68, 0, border_11
(l:8:128:135), 48095, 11, VISpl_6b
(l:8:128:136), 186754, 16, VISpl_6a
(l:8:128:137), 457350, 138, VISpl_5
(l:8:128:138), 109608, 10, VISpl_4
(l:8:128:139), 310138, 18, VISpl_2/3
(l:8:128:140), 134192, 4, VISpl_1
(l:8:130:135), 1626, 0, VISpm_6b
(l:8:130:136), 183529, 18, VISpm_6a
(l:8:130:137), 226180, 59, VISpm_5
(l:8:130:138), 54217, 33, VISpm_4
(l:8:130:139), 228402, 25, VISpm_2/3
(l:8:130:140), 102341, 3, VISpm_1
(l:8:132:135), 22663, 0, VISp_6b
(l:8:132:136), 276141, 10, VISp_6a
(l:8:132:137), 483281, 68, VISp_5
(l:8:132:138), 169151, 19, VISp_4
(l:8:132:139), 617710, 52, VISp_2/3
(l:8:132:140), 265565, 17, VISp_1
(l:13:159:141), 26304, 15, ECT_6b
(l:13:159:142), 116838, 43, ECT_6a
(l:13:159:143), 409346, 253, ECT_5
(l:13:159:144), 460967, 70, ECT_2/3
(l:13:159:145), 218735, 27, ECT_1
(l:21:176:174), 40880, 4, TEa_6b
(l:21:176:175), 110973, 6, TEa_6a
(l:21:176:176), 337244, 152, TEa_5
(l:21:176:177), 90085, 5, TEa_4
(l:21:176:178), 244650, 27, TEa_2/3
(l:21:176:179), 144792, 22, TEa_1
(l:26:165:147), 1946, 0, RSPv_6b
(l:26:165:148), 6539, 0, RSPv_6a
(l:26:165:149), 49888, 8, RSPv_5
(l:26:165:150), 104390, 21, RSPv_2/3
(l:26:165:151), 35386, 0, RSPv_2
(l:26:165:152), 123647, 12, RSPv_1
(l:26:166:148), 1419, 1, RSPd_6b
(l:26:166:149), 127192, 9, RSPd_6a
(l:26:166:150), 199304, 26, RSPd_5
(l:26:166:151), 336005, 60, RSPd_2/3
(l:26:166:152), 247725, 53, RSPd_1
(l:50:182:32), 500188, 155, ENTm_6
(l:50:182:33), 148370, 131, ENTm_5
(l:50:182:34), 33621, 1, ENTm_4
(l:50:182:35), 117321, 39, ENTm_3
(l:50:182:36), 669077, 272, ENTm_2b
(l:50:182:37), 173941, 0, ENTm_2a
(l:50:184:29), 686913, 96, ENTl_6a
(l:50:184:30), 632709, 166, ENTl_5
(l:50:184:32), 240250, 103, ENTl_4
(l:50:184:34), 1035316, 816, ENTl_3
(l:50:184:35), 458610, 514, ENTl_2b
(l:50:184:36), 654323, 602, ENTl_2a
(l:50:184:38), 1010101, 84, ENTl_1
(l:72:200:60), 82688, 55, POST_3
(l:72:200:61), 204670, 59, POST_2
(l:72:200:62), 143844, 0, POST_1
(l:89:185:71), 166365, 74, PRE_3
(l:89:185:72), 269469, 51, PRE_2
(l:89:185:73), 85412, 8, PRE_1
(l:114:213:103), 138233, 95, PAR_3
