border_11,0,BORDER,border_11,border_11
GU_6b,40048,CTX,GU,GU_d
GU_6a,40049,CTX,GU,GU_d
GU_5,40050,CTX,GU,GU_d
GU_4,40051,CTX,GU,GU_d
GU_2/3,40052,CTX,GU,GU_s
GU_1,40053,CTX,GU,GU_s
PTLp_6b,40871,CTX,PTLp,PTLp_d
PTLp_6a,40872,CTX,PTLp,PTLp_d
PTLp_5,40873,CTX,PTLp,PTLp_d
PTLp_4,40874,CTX,PTLp,PTLp_d
PTLp_2/3,40875,CTX,PTLp,PTLp_s
PTLp_1,40876,CTX,PTLp,PTLp_s
AUDd_6b,102804,CTX,AUDd,AUDd_d
AUDd_6a,102805,CTX,AUDd,AUDd_d
AUDd_5,102806,CTX,AUDd,AUDd_d
AUDd_4,102807,CTX,AUDd,AUDd_d
AUDd_2/3,102808,CTX,AUDd,AUDd_s
AUDd_1,102809,CTX,AUDd,AUDd_s
AUDp_6b,103060,CTX,AUDp,AUDp_d
AUDp_6a,103061,CTX,AUDp,AUDp_d
AUDp_5,103062,CTX,AUDp,AUDp_d
AUDp_4,103063,CTX,AUDp,AUDp_d
AUDp_2/3,103064,CTX,AUDp,AUDp_s
AUDp_1,103065,CTX,AUDp,AUDp_s
AUDv_6b,103316,CTX,AUDv,AUDv_d
AUDv_6a,103317,CTX,AUDv,AUDv_d
AUDv_5,103318,CTX,AUDv,AUDv_d
AUDv_4,103319,CTX,AUDv,AUDv_d
AUDv_2/3,103320,CTX,AUDv,AUDv_s
AUDv_1,103321,CTX,AUDv,AUDv_s
AUDpo_6b,103572,CTX,AUDpo,AUDpo_d
AUDPo_6a,103573,CTX,AUDPo,AUDPo_d
AUDPo_5,103574,CTX,AUDPo,AUDPo_d
AUDPo_4,103575,CTX,AUDPo,AUDPo_d
AUDPo_2/3,103576,CTX,AUDPo,AUDPo_s
AUDPo_1,103577,CTX,AUDPo,AUDPo_s
VISpl_6b,557191,CTX,VISpl,VISpl_d
VISpl_6a,557192,CTX,VISpl,VISpl_d
VISpl_5,557193,CTX,VISpl,VISpl_d
VISpl_4,557194,CTX,VISpl,VISpl_d
VISpl_2/3,557195,CTX,VISpl,VISpl_s
VISpl_1,557196,CTX,VISpl,VISpl_s
VISl_6b,557447,CTX,VISl,VISl_d
VISl_6a,557448,CTX,VISl,VISl_d
VISl_5,557449,CTX,VISl,VISl_d
VISl_4,557450,CTX,VISl,VISl_d
VISl_2/3,557451,CTX,VISl,VISl_s
VISl_1,557452,CTX,VISl,VISl_s
VISpm_6b,557703,CTX,VISpm,VISpm_d
VISpm_6a,557704,CTX,VISpm,VISpm_d
VISpm_5,557705,CTX,VISpm,VISpm_d
VISpm_4,557706,CTX,VISpm,VISpm_d
VISpm_2/3,557707,CTX,VISpm,VISpm_s
VISpm_1,557708,CTX,VISpm,VISpm_s
VISal_6b,557959,CTX,VISal,VISal_d
VISal_6a,557960,CTX,VISal,VISal_d
VISal_5,557961,CTX,VISal,VISal_d
VISal_4,557962,CTX,VISal,VISal_d
VISal_2/3,557963,CTX,VISal,VISal_s
VISal_1,557964,CTX,VISal,VISal_s
VISp_6b,558215,CTX,VISp,VISp_d
VISp_6a,558216,CTX,VISp,VISp_d
VISp_5,558217,CTX,VISp,VISp_d
VISp_4,558218,CTX,VISp,VISp_d
VISp_2/3,558219,CTX,VISp,VISp_s
VISp_1,558220,CTX,VISp,VISp_s
VISam_6b,558471,CTX,VISam,VISam_d
VISam_6a,558472,CTX,VISam,VISam_d
VISam_5,558473,CTX,VISam,VISam_d
VISam_4,558474,CTX,VISam,VISam_d
VISam_2/3,558475,CTX,VISam,VISam_s
VISam_1,558476,CTX,VISam,VISam_s
ECT_6b,892813,CTX,ECT,ECT_d
ECT_6a,892814,CTX,ECT,ECT_d
ECT_5,892815,CTX,ECT,ECT_d
ECT_2/3,892816,CTX,ECT,ECT_s
ECT_1,892817,CTX,ECT,ECT_s
PERI_6b,956032,CTX,PERI,PERI_d
PERI_6a,956033,CTX,PERI,PERI_d
PERI_5,956034,CTX,PERI,PERI_d
PERI_2/3,956035,CTX,PERI,PERI_s
PERI_1,956036,CTX,PERI,PERI_s
VISC_6b,1158526,CTX,VISC,VISC_d
VISC_6a,1158527,CTX,VISC,VISC_d
VISC_5,1158528,CTX,VISC,VISC_d
VISC_4,1158529,CTX,VISC,VISC_d
VISC_2/3,1158530,CTX,VISC,VISC_s
VISC_1,1158531,CTX,VISC,VISC_s
TEa_6b,1421486,CTX,TEa,TEa_d
TEa_6a,1421487,CTX,TEa,TEa_d
TEa_5,1421488,CTX,TEa,TEa_d
TEa_4,1421489,CTX,TEa,TEa_d
TEa_2/3,1421490,CTX,TEa,TEa_s
TEa_1,1421491,CTX,TEa,TEa_s
SSp_tr_6b,1601887,CTX,SSp_tr,SSp_tr_d
SSp_tr_6a,1601888,CTX,SSp_tr,SSp_tr_d
SSp_tr_5,1601889,CTX,SSp_tr,SSp_tr_d
SSp_tr_4,1601890,CTX,SSp_tr,SSp_tr_d
SSp_tr_2/3,1601891,CTX,SSp_tr,SSp_tr_s
SSp_tr_1,1601892,CTX,SSp_tr,SSp_tr_s
